# 横 竖 撇 捺 折 弯 叉 框
一	1
二	11
三	111
元	113
顽	1131
亓	1132
鼋	1138
亏	115
亍	115
示	1153
动	116
魂	1163
动	11635
云	1164
要	12
工	121
项	1211
髡	121136
巧	12115
贡	1212
髭	12122
贡	12125
觋	12125
蛩	12128
功	1213
攻	12131
髹	12132
巫	12134
銎	121341
巫	121343
鬈	121343
巩	12136
髦	121361
鬏	12137
恐	1214
鬃	12144
鬃	121445
鬓	121445
汞	1215
邛	12152
髫	12153
鬣	1216
肆	1217
髻	12171
髯	12177
跫	1218
鬟	121822
政	122
正	1221
票	122115
甄	12216
贾	1222
剽	12225
贾	122253
飘	1223
政	12231
覆	12233
瓢	122336
亚	1224
严	12243
亚	122431
严	122431
恶	12246
雨	1225
焉	12251
鄄	12252
鄢	12252
要	1226
戬	12264
栗	1227
垩	12271
粟	12274
晋	1228
覃	122817
下	124
需	1241
雩	12411
震	12413
需	124132
颥	124132
雳	124133
霄	1242
霏	12421
零	1243
霉	12431
霓	12432
霍	12434
零	124344
霾	124344
雾	12435
雹	124355
忑	1244
霎	12441
霁	124417
雯	124417
霈	124441
霪	124441
霭	124468
雪	1245
酃	12452
霞	124521
霹	12453
霆	12454
霸	1246
霜	1247
霰	12472
霖	12473
霜	12473
露	1248
雷	12487
五	125
五	1251
丐	1251
鹂	1253
丽	1254
郦	1255
吾	1258
取	127
耳	1271
颞	12713
耵	12715
耻	1272
聩	12728
聚	1273
耿	12734
聆	127344
耽	127345
聊	12736
聒	12737
联	1274
聪	12743
联	127431
聍	12744
耶	1275
鄹	12752
耶	12752
取	12754
聂	127545
娶	1276
聘	1277
聃	12777
职	1278
歌	128
哥	1281
厂	13
无	131
辰	1311
蚕	1312
蜃	13128
蚕	13128
励	1313
厉	13135
励	13135
厦	13138
天	1314
厅	1315
辱	13151
忝	13154
吞	1318
唇	1318
厨	13184
不	132
丌	132
丕	1321
歪	13212
甭	1323
鸸	132355
不	1324
丕	13241
恧	13246
而	1325
耐	13251
邳	13252
邴	13252
而	132522
页	13253
厕	132532
丙	13254
耍	1326
耍	13261
孬	13261
否	1328
两	133
靥	1331
雁	1332
赝	13325
两	133254
餍	1333
魇	13338
仄	1334
厌	13341
愿	13346
历	1335
原	1338
愿	133814
厣	13387
灭	134
劂	1342
厥	1343
灭	13434
万	135
顾	1351
列	1352
殂	135251
虿	13528
歼	1353
殇	13531
殃	13532
豕	13533
殓	13534
殄	135343
燹	135343
殍	135344
餮	135344
劢	13535
殉	135358
殁	13536
歹	1354
裂	13541
殚	13543
烈	13544
殡	135445
殛	1355
厄	1356
厩	13561
死	13563
残	13564
殆	135648
殖	1357
殪	13571
殊	13573
趸	1358
殒	135825
死	136
兀	136
酝	1361
酾	13612
酽	136122
酊	13615
厍	13617
酐	13617
酮	1362
醵	13621
醭	13622
酏	13626
虺	13628
酶	1363
酢	136312
酞	136314
醢	136318
酬	13632
酚	13634
醮	136341
酴	136341
酹	136344
酌	13635
酪	136354
酌	136354
酩	136354
酥	13637
醺	136378
醇	1364
醉	13641
醉	136413
醣	136413
醅	136414
醯	136416
酡	13644
醚	13645
酿	136456
配	1365
酎	136514
醑	13652
醪	13654
酸	1366
酯	13663
酣	13667
酵	1367
醋	13672
醛	136723
醴	136728
酷	13673
酰	136731
酵	136731
酷	136731
酗	13676
酤	13678
醐	136783
西	1368
酉	13681
醍	136811
醌	136816
醒	136817
酲	136817
开	137
刑	1372
厮	13721
厝	137218
形	1373
厢	13734
压	1374
邢	1375
型	1377
石	138
百	1381
研	13813
砺	138131
硕	138132
硒	138136
研	138137
硎	138137
硬	138138
磊	138138
更	13814
厚	13815
砑	138156
砸	13816
矸	13817
砰	138174
礓	13818
面	1382
砧	13821
砂	13823
硝	13824
破	13825
硐	138251
破	138253
砚	138253
础	13826
础	138262
碳	138262
确	1383
砟	13831
硖	138314
斫	13833
礁	13834
硷	138341
礁	138341
碓	138341
砼	138341
砭	138345
夏	13835
硼	138351
砍	138353
确	138353
矽	138354
夏	138354
磔	138354
硌	138354
碉	138357
矶	13836
