# utf-8
d   点   d
h   横   h
i   竖   i
j   撇   j
g   折   g
o   日   ighh
u   月   jghh
a   钅   jhhhg
m   木   hijd
s   氵   ddh
w   火   ddjd
t   土   hih
r   亻   ji
e   忄   ddi
f   扌   hgh
c   艹   hii
k   口   igh
v   纟   ggh
x      jhdjhd
p   阝   gi
z   足   ighihjd
q   犭   jgj
n   女   gjh
l   宀   ddg
b   贝   igjd
y   讠	dg

a   又	gd
a   巾	igi
b   疒	dhjdh
b   白	jighh
c   厂	hj
c   彳	jji
c   虫	ighihd
c   车	hghi
t   大	hjd
e   心	dgdd
f   手	jhhi
k   广	dhj
k   弓	ghg
m   皿	igiih
m   门	dig
m   門	ighhighh
m   马	ggh
n   牛	jhhi
n   鸟	jgdgh
o   曰	ighh
o   目	ighhh
p   耳	hiihhh
q   气	jhhg
r   人	jd
s   尸	ghj
s   山	igi
s   水	igjd
s   石	hjigh
t   士	hih
t   田	ighih
u   户	dghj
w   戊	hjgjd
x   西	higjgh
x   覀  higiih
y   酉	higjghh
y   雨	hdgidddd
y   雨	higidddd
z   止	ihih
z   正	hihih
z   豸	jddjgjj
