⺕	gri
〇	li~
㐖毒	kit duk
㕵	#ok
㕵㕵狗	#ok #ok gru
㗎仔	ga zri
㗎佬	ga lou
㗎咋	ga za
㗎啦	ga la
㗎喇	ga la
㗎妹	ga mui
㗎話	ga wa
㗾㗾聲	h!i h!i se~
㗾哆	h!i do
㚻姦	gei gan
㜺鬼	zan #ri
㞎㞎	ba ba
㨃鬼	d!i #ri
㨘到立立呤	sa~ dou lap lap li~
㨘牛王	sa~ ~ru wo~
㩒住頭	grm zv tru
㩒機	grm gei
㩒錢	grm cin
㩒鐘	grm zu~
㩒鷓鴣	grm ze gu
㩧㩧齋	pok pok zai
㩧佬	pok lou
㩧帽	bok mou
㩧濕	pok srp
㷫烚烚	hi~ hrp hrp
㷫過火屎	hi~ #o fo si
㷫過焫雞	hi~ #o nat gri
㹴犬	gr~ hvn
㺢㹢狓	fok ga pei
䁪下眼	zam ha ~an
䁪吓眼	zam hak ~an
䁪眉䁪眼	zam mei zam ~an
䁪眼	zam ~an
䂿䂿趯	tap tap tik
䎺得過	zri drk #o
䟴䟴腳	~rn ~rn g@k
䟴高	~rn gou
䰾魚	ba jv
䴉嘴鷸	wan z!i wrt
一	jrt
一一	jrt jrt
一一對應	jrt jrt d!i ji~
一一映射	jrt jrt ji~ se
一丁不識	jrt di~ brt sik
一丁點	jrt di~ dim
一下	jrt ha 
一下兒	jrt ha ji
一下子	jrt ha zi
一不做二不休	jrt brt zou ji brt jru
一不小心	jrt brt siu srm
一世	jrt sri
一世人	jrt sri jrn
一世英名	jrt sri ji~ mi~
一丘之貉	jrt jru zi hok
一並	jrt bi~
一个	jrt go
一中一台	jrt zu~ jrt toi
一中原則	jrt zu~ jvn zrk
一串	jrt cvn
一之為甚	jrt zi wri srm
一之謂甚	jrt zi wri srm
一九九七年	jrt gru gru crt nin
一九四九年	jrt gru sei gru nin
一乾二淨	jrt gon ji ze~
一了百了	jrt liu bak liu
一事	jrt si
一事無成	jrt si mou si~
一二	jrt ji
一二八事變	jrt ji bat si bin
一五一十	jrt ~ jrt srp
一些	jrt se
一些些	jrt se se
一人做事一人當	jrt jrn zou si jrt jrn do~
一人得道雞犬升天	jrt jrn drk dou gri hvn si~ tin
一人計短二人計長	jrt jrn gri dvn ji jrn gri z@~
一仆一碌	jrt puk jrt luk
一介	jrt gai
一介不取	jrt gai brt c!i
一代	jrt doi
一代不如一代	jrt doi brt jv jrt doi
一代英豪	jrt doi ji~ hou
一代豪傑	jrt doi hou git
一件還一件	jrt gin wan jrt gin
一件頭	jrt gin tru
一任	jrt jrm
一份	jrt frn
一住	jrt zv
一併	jrt bi~
一來	jrt loi
一來二去	jrt loi ji h!i
一來到	jrt lri dou
一便	jrt bin
一係	jrt hri
一個	jrt go
一個一個	jrt go jrt go
一個中國	jrt go zu~ #ok
一個中國政策	jrt go zu~ #ok zi~ cak
一個二個	jrt go ji go
一個人	jrt go jrn
一個個	jrt go go
一個做好一個做醜	jrt go zou hou jrt go zou cru
一個勁	jrt go gi~
一個勁兒	jrt go gi~ ji
一個字	jrt go zi
一個對	jrt go d!i
一個崩	jrt go br~
一個巴仙	jrt go ba sin
一個巴掌拍不響	jrt go ba z@~ pak brt h@~
一個幽靈在歐洲遊蕩	jrt go jru li~ zoi ru zru jru do~
一個接一個	jrt go zip jrt go
一個樣	jrt go j@~
一個蘿蔔一個坑	jrt go lo bak jrt go ha~
一個鐘	jrt go zu~
一個頭兩個大	jrt go tru l@~ go dai
一個餅印	jrt go be~ jrn
一個餅印噉	jrt go be~ jrn grm
一個骨	jrt go #rt
一倍	jrt pui
一倡三歎	jrt c@~ sam tan
一側化	jrt zrk fa
一傳十十傳百	jrt cvn srp srp cvn bak
