的	dik
一	jrt
了	liu
是	si
不	brt
我	~o
人	jrn
在	zoi
有	jru
道	dou
你	nei
大	dai
到	dou
上	s@~
着	z@k
出	c!t
中	zu~
地	dei
那	na
就	zru
也	ja
下	ha
要	jiu
么	jiu
么	mo
子	zi
时	si
然	jin
可	ho
她	ta
之	zi
以	ji
看	hon
得	drk
天	tin
去	h!i
自	zi
好	hou
心	srm
和	wo
和	wu
能	nr~
后	hru
里	lei
小	siu
手	sru
而	ji
起	hei
只	zek
只	zi
身	srn
想	s@~
都	dou
如	jv
面	min
多	do
已	ji
事	si
生	sa~
生	sr~
知	zi
知	kei
家	ga
前	cin
方	fo~
笑	siu
什	srm
什	srp
什	zap
力	lik
点	dim
法	fat
所	so
成	si~
成	se~
意	ji
但	dan
老	lou
用	ju~
又	jru
情	ci~
于	jv
己	gei
些	se
行	ha~
行	ho~
行	hr~
此	ci
眼	~an
把	ba
回	wui
真	zrn
三	sam
年	nin
神	srn
明	mi~
十	srp
女	n!i
向	h@~
定	di~
正	zi~
正	ze~
本	bun
很	hrn
同	tu~
高	gou
问	mrn
才	coi
全	cvn
被	bei
被	pei
主	zv
再	zoi
走	zru
分	frn
口	hru
其	kei
作	zok
几	gei
外	~oi
打	da
最	z!i
光	#o~
白	bak
等	dr~
因	jrn
重	cu~
重	zu~
少	siu
相	s@~
住	zv
次	ci
何	ho
色	sik
二	ji
公	gu~
日	jrt
怎	zrm
名	me~
名	mi~
死	sei
便	bin
便	pin
位	wri
部	bou
果	#o
感	grm
太	tai
水	s!i
先	sin
王	wo~
比	bei
入	jrp
第	dri
直	zik
理	lei
快	fai
更	ga~
更	gr~
做	zou
者	ze
接	zip
西	sri
四	sei
山	san
月	jvt
放	fo~
加	ga
目	muk
使	sri
使	si
强	k@~
由	jru
金	grm
立	lap
立	lrp
叫	giu
安	on
吧	ba
信	s!n
望	mo~
算	svn
原	jvn
美	mei
像	z@~
平	pi~
平	pe~
特	drk
特	ho
云	wrn
清	ce~
清	ci~
今	grm
任	jrm
空	hu~
表	biu
完	jvn
合	hrp
合	gap
常	s@~
量	l@~
量	cu~
海	hoi
受	sru
解	gai
文	mrn
命	me~
命	mi~
斯	si
通	tu~
冷	la~
思	si
黑	hak
黑	hrk
世	sri
利	lei
利	lri
至	zi
非	fei
林	lrm
呢	nei
呢	ni
呢	li
呢	ne
新	srn
步	bou
候	hru
五	~
李	lei
度	dou
度	dok
路	lou
微	mei
跟	grn
似	ci
物	mrt
化	fa
制	zri
火	fo
性	si~
反	fan
武	mou
指	zi
系	hri
花	fa
教	gau
功	gu~
提	tri
竟	gi~
士	si
百	bak
它	ta
找	zau
落	lok
落	dei
落	lrk
容	ju~
必	bit
深	srm
城	si~
城	se~
拉	lap
拉	lai
拉	ba
奇	gei
奇	kei
若	j@k
各	gok
失	srt
言	jin
且	ce
形	ji~
青	ci~
青	ce~
石	sek
干	gon
半	bun
近	grn
近	krn
怕	pa
夫	fu
往	wo~
突	drt
吃	hek
吃	grt
啊	a
倒	dou
活	wut
件	gin
刻	hak
刻	hrk
息	sik
即	zik
工	gu~
早	zou
乎	fu
界	gai
怪	#ai
流	lru
管	gun
音	jrm
衣	ji
保	bou
暗	~rm
暗	rm
弟	dri
弟	di
及	grp
及	krp
交	gau
影	ji~
爱	oi
精	ze~
精	zi~
精
民	mrn
令	li~
玉	juk
服	fuk
哥	go
南	nam
般	bun
般	bo
般	pun
元	jvn
收	sru
未	mei
始	ci
星	si~
克	hak
克	hrk
根	grn
象	z@~
男	nam
告	gou
告	guk
展	zin
坐	co
坐	zo
血	hvt
整	zi~
兵	bi~
急	grp
千	cin
切	cit
切	cri
越	jvt
喜	hei
站	zam
德	drk
敢	grm
消	siu
姐	ze
周	zru
字	zi
八	bat
每	mui
苦	fu
房	fo~
忙	mo~
雷	l!i
片	pin
哪	na
求	kru
司	si
北	brk
准	z!n
江	go~
刀	dou
建	gin
兄	hi~
足	zuk
代	doi
或	wak
楚	co
底	dri
夜	je
格	gak
持	ci
答	dap
哈	ka
哈	ha
留	lru
易	jik
易	ji
七	crt
父	fu
拿	na
程	ci~
阿	a
阿	o
害	hoi
族	zuk
破	po
孩	hoi
孩	hai
魔	mo
官	gun
沉	crm
沉	zrm
够	gru
取	c!i
单	dan
掌	z@~
低	dri
雪	svt
响	h@~
布	bou
市	si
依	ji
久	gru
首	sru
朝	ciu
朝	ziu
待	doi
娘	n@~
客	hak
忽	frt
速	cuk
修	sru
式	sik
招	ziu
九	gru
集	zap
晚	man
黄	wo~
友	jru
除	c!i
送	su~
政	zi~
古	gu
六	luk
器	hei
甚	srm
照	ziu
基	gei
院	jvn
居	g!i
呼	fu
露	lou
句	g!i
斗	dru
香	h@~
停	ti~
台	toi
群	$rn
嘴	z!i
希	hei
酒	zru
巴	ba
巴	pa
支	zi
慢	man
仙	sin
段	dvn
派	pai
派	pa
英	ji~
喝	hot
期	kei
威	wri
另	li~
府	fu
改	goi
旁	po~
造	zou
造	cou
攻	gu~
左	zo
疑	ji
念	nim
引	jrn
怒	nou
退	t!i
注	zv
背	bui
需	s!i
痛	tu~
雨	jv
曾	cr~
曾	zr~
包	bau
木	muk
技	gei
示	si
皇	wo~
差	ca
差	ci
差	cai
密	mrt
鬼	#ri
鬼	sik
穿	cvn
莫	mok
品	brn
既	gei
存	cvn
睛	zi~
烈	lit
追	z!i
推	t!i
您	nei
右	jru
商	s@~
角	gok
淡	tam
淡	dam
止	zi
狂	ko~
狂	$o~
亮	l@~
忍	jrn
模	mou
仍	ji~
跑	pau
否	fru
君	#rn
妹	mui
母	mou
科	fo
凌	li~
寒	hon
局	guk
冰	bi~
禁	grm
禁	krm
境	gi~
掉	diu
究	gru
余	jv
查	ca
激	gik
防	fo~
恐	hu~
肯	hr~
故	gu
游	jru
球	kru
救	gru
施	si
帝	dri
佛	frt
料	liu
抓	au
抓	zau
抓	za
玩	wan
玩	wun
猛	ma~
份	frn
米	mri
具	g!i
具	k!i
治	zi
治	ci
章	z@~
巨	g!i
守	sru
散	san
眉	mei
抱	pou
震	zrn
索	sok
索	sak
助	zo
股	gu
跳	tiu
波	bo
虎	fu
姑	gu
唐	to~
室	srt
伙	fo
沙	sa
投	tru
柔	jru
毫	hou
毒	duk
耳	ji
座	zo
射	se
副	fu
置	zi
初	co
卡	kat
卡	ka
承	si~
承	se~
船	svn
逃	tou
皮	pei
皮	mok
呀	a
靠	kau
充	cu~
共	gu~
吸	krp
刺	ci
堂	to~
醒	se~
醒	si~
考	hau
松	cu~
排	pai
划	wa
河	ho
河	jvn
土	tou
志	zi
致	zi
素	sou
湖	wu
睡	s!i
京	gi~
效	hau
朋	pr~
宇	jv
紫	zi
伸	srn
超	ciu
忘	mo~
幸	hr~
遇	jv
拍	pak
警	gi~
按	on
察	cat
藏	co~
藏	zo~
胡	wu
秘	bei
凡	fan
型	ji~
型	ciu
尚	s@~
恩	jrn
增	zr~
史	si
秋	cru
翻	fan
迷	mri
州	zru
付	fu
尼	nei
尼	noi
雅	~a
雅	a
秦	c!n
草	cou
著	z@k
著	zv
咱	za
咱	ca
朱	zv
呆	dai
呆	~oi
封	fu~
普	pou
景	gi~
味	mei
舞	mou
弄	nu~
弄	lu~
福	fuk
握	ak
握	rk
社	se
永	wi~
默	mrk
洞	du~
控	hu~
钟	zu~
徐	c!i
假	ga
病	be~
病	bi~
病	sei
胸	hu~
欲	juk
伯	bak
峰	fu~
肉	juk
肉	jru
野	je
值	zik
尊	z!n
尊	zvn
恨	hrn
狠	hrn
田	tin
魂	wrn
魂	wan
毛	mou
毛	zit
免	min
短	dvn
秀	sru
麻	ma
印	jrn
良	l@~
迎	ji~
骨	#rt
探	tam
啦	la
研	jin
妖	jiu
屋	uk
案	on
杰	git
饭	fan
