的	dik
一	jrt
了	liu
是	si
不	brt
我	fo
人	jrh
在	zoi
有	jru
道	dou
你	hei
大	dai
到	dou
上	sxf
着	zxk
出	cxt
中	zuf
地	dei
那	ha
就	zru
也	ja
下	na
要	jiu
么	jiu
么	mo
子	zi
时	si
然	jih
可	no
她	ta
之	zi
以	ji
看	noh
得	drk
天	tih
去	nxi
自	zi
好	nou
心	srm
和	wo
和	wu
能	hrf
后	nru
里	lei
小	siu
手	sru
而	ji
起	nei
只	zek
只	zi
身	srh
想	sxf
都	dou
如	jy
面	mih
多	do
已	ji
事	si
生	saf
生	srf
知	zi
知	kei
家	ga
前	cih
方	vof
笑	siu
什	srm
什	srp
什	zap
力	lik
点	dim
法	vat
所	so
成	sif
成	sef
意	ji
但	dah
老	lou
用	juf
又	jru
情	cif
于	jy
己	gei
些	se
行	naf
行	nof
行	nrf
此	ci
眼	fah
把	ba
回	wui
真	zrh
三	sam
年	hih
神	srh
明	mif
十	srp
女	hxi
向	nxf
定	dif
正	zif
正	zef
本	buh
很	nrh
同	tuf
高	gou
问	mrh
才	coi
全	cyh
被	bei
被	pei
主	zy
再	zoi
走	zru
分	vrh
口	nru
其	kei
作	zok
几	gei
外	foi
打	da
最	zxi
光	qof
白	bak
等	drf
因	jrh
重	cuf
重	zuf
少	siu
相	sxf
住	zy
次	ci
何	no
色	sik
二	ji
公	guf
日	jrt
怎	zrm
名	mef
名	mif
死	sei
便	bih
便	pih
位	wri
部	bou
果	qo
感	grm
太	tai
水	sxi
先	sih
王	wof
比	bei
入	jrp
第	dri
直	zik
理	lei
快	vai
更	gaf
更	grf
更	zxh
做	zou
者	ze
接	zip
西	sri
西	qa
四	sei
四	si
山	sah
月	jyt
放	vof
加	ga
目	muk
使	sri
使	si
强	kxf
由	jru
金	grm
立	lap
立	lrp
叫	giu
安	oh
吧	ba
信	sxh
望	mof
算	syh
原	jyh
美	mei
像	zxf
平	pif
平	pef
特	drk
特	no
云	wrh
清	cef
清	cif
今	grm
任	jrm
空	nuf
表	biu
完	jyh
合	nrp
合	gap
常	sxf
量	lxf
量	cuf
海	noi
受	sru
解	gai
文	mrh
命	mef
命	mif
斯	si
通	tuf
冷	laf
思	si
黑	nak
黑	nrk
世	sri
利	lei
利	lri
至	zi
非	vei
林	lrm
呢	hei
呢	hi
呢	li
呢	he
新	srh
步	bou
候	nru
五	f
李	lei
度	dou
度	dok
路	lou
微	mei
跟	grh
似	ci
物	mrt
化	va
制	zri
火	vo
性	sif
反	vah
武	mou
指	zi
系	nri
花	va
教	gau
功	guf
提	tri
竟	gif
士	si
百	bak
它	ta
找	zau
落	lok
落	dei
落	lrk
容	juf
必	bit
深	srm
城	sif
城	sef
拉	lap
拉	lai
拉	ba
奇	gei
奇	kei
若	jxk
各	gok
失	srt
言	jih
且	ce
形	jif
青	cif
青	cef
石	sek
干	goh
半	buh
近	grh
近	krh
怕	pa
夫	vu
往	wof
突	drt
吃	nek
吃	grt
啊	a
倒	dou
活	wut
件	gih
刻	nak
刻	nrk
息	sik
即	zik
工	guf
早	zou
乎	vu
界	gai
怪	qai
流	lru
管	guh
音	jrm
衣	ji
保	bou
暗	frm
暗	rm
弟	dri
弟	di
及	grp
及	krp
交	gau
影	jif
爱	oi
精	zef
精	zif
精
民	mrh
令	lif
玉	juk
服	vuk
哥	go
南	ham
般	buh
般	bo
般	puh
元	jyh
收	sru
未	mei
始	ci
星	sif
克	nak
克	nrk
根	grh
象	zxf
男	ham
告	gou
告	guk
展	zih
坐	co
坐	zo
血	nyt
整	zif
兵	bif
急	grp
千	cih
切	cit
切	cri
越	jyt
喜	nei
站	zam
德	drk
敢	grm
消	siu
姐	ze
周	zru
字	zi
八	bat
每	mui
苦	vu
房	vof
忙	mof
雷	lxi
片	pih
哪	ha
求	kru
司	si
北	brk
准	zxh
江	gof
刀	dou
建	gih
兄	nif
足	zuk
代	doi
或	wak
楚	co
底	dri
夜	je
格	gak
持	ci
答	dap
哈	ka
哈	na
留	lru
易	jik
易	ji
七	crt
父	vu
拿	ha
程	cif
阿	a
阿	o
害	noi
族	zuk
破	po
孩	noi
孩	nai
魔	mo
官	guh
沉	crm
沉	zrm
够	gru
取	cxi
单	dah
掌	zxf
低	dri
雪	syt
响	nxf
布	bou
市	si
依	ji
久	gru
首	sru
朝	ciu
朝	ziu
待	doi
娘	hxf
客	nak
忽	vrt
速	cuk
修	sru
式	sik
招	ziu
九	gru
集	zap
晚	mah
黄	wof
友	jru
除	cxi
送	suf
政	zif
古	gu
六	luk
器	nei
甚	srm
照	ziu
基	gei
院	jyh
居	gxi
呼	vu
露	lou
句	gxi
斗	dru
香	nxf
停	tif
台	toi
群	qrh
嘴	zxi
希	nei
酒	zru
巴	ba
巴	pa
支	zi
慢	mah
仙	sih
段	dyh
派	pai
派	pa
英	jif
喝	not
期	kei
威	wri
另	lif
府	vu
改	goi
旁	pof
造	zou
造	cou
攻	guf
左	zo
疑	ji
念	him
引	jrh
怒	hou
退	txi
注	zy
背	bui
需	sxi
痛	tuf
雨	jy
曾	crf
曾	zrf
包	bau
木	muk
技	gei
示	si
皇	wof
差	ca
差	ci
差	cai
密	mrt
鬼	qri
鬼	sik
穿	cyh
莫	mok
品	brh
既	gei
存	cyh
睛	zif
烈	lit
追	zxi
推	txi
您	hei
右	jru
商	sxf
角	gok
淡	tam
淡	dam
止	zi
狂	kof
狂	qof
亮	lxf
忍	jrh
模	mou
仍	jif
跑	pau
否	vru
君	qrh
妹	mui
母	mou
科	vo
凌	lif
寒	noh
局	guk
冰	bif
禁	grm
禁	krm
境	gif
掉	diu
究	gru
余	jy
查	ca
激	gik
防	vof
恐	nuf
肯	nrf
故	gu
游	jru
球	kru
救	gru
施	si
帝	dri
佛	vrt
料	liu
抓	au
抓	zau
抓	za
玩	wah
玩	wuh
猛	maf
份	vrh
米	mri
具	gxi
具	kxi
治	zi
治	ci
章	zxf
巨	gxi
守	sru
散	sah
眉	mei
抱	pou
震	zrh
索	sok
索	sak
助	zo
股	gu
跳	tiu
波	bo
虎	vu
姑	gu
唐	tof
室	srt
伙	vo
沙	sa
投	tru
柔	jru
毫	nou
毒	duk
耳	ji
座	zo
射	se
副	vu
置	zi
初	co
卡	kat
卡	ka
承	sif
承	sef
船	syh
逃	tou
皮	pei
皮	mok
呀	a
靠	kau
充	cuf
共	guf
吸	krp
刺	ci
堂	tof
醒	sef
醒	sif
考	nau
松	cuf
排	pai
划	wa
河	no
河	jyh
土	tou
志	zi
致	zi
素	sou
湖	wu
睡	sxi
京	gif
效	nau
朋	prf
宇	jy
紫	zi
伸	srh
超	ciu
忘	mof
幸	nrf
遇	jy
拍	pak
警	gif
按	oh
察	cat
藏	cof
藏	zof
胡	wu
秘	bei
凡	vah
型	jif
型	ciu
尚	sxf
恩	jrh
增	zrf
史	si
秋	cru
翻	vah
迷	mri
州	zru
付	vu
尼	hei
尼	hoi
雅	fa
雅	a
秦	cxh
草	cou
著	zxk
著	zy
咱	za
咱	ca
朱	zy
呆	dai
呆	foi
封	vuf
普	pou
景	gif
味	mei
舞	mou
弄	huf
弄	luf
福	vuk
握	ak
握	rk
社	se
永	wif
默	mrk
洞	duf
控	nuf
钟	zuf
徐	cxi
假	ga
病	bef
病	bif
病	sei
胸	nuf
欲	juk
伯	bak
峰	vuf
肉	juk
肉	jru
野	je
值	zik
尊	zxh
尊	zyh
恨	nrh
狠	nrh
田	tih
魂	wrh
魂	wah
毛	mou
毛	zit
免	mih
短	dyh
秀	sru
麻	ma
印	jrh
良	lxf
迎	jif
骨	qrt
探	tam
啦	la
研	jih
妖	jiu
屋	uk
案	oh
杰	git
饭	vah
村	cyh
升	sif
升	sxf
抬	toi
蒙	muf
略	lxk
丹	dah
源	jyh
雄	nuf
