#	single
的	dik
一	jrt
是	si
了	liu
不	brt
在	zoi
有	jru
个	go
人	jrn
这	ze
上	s@~
中	zu~
大	dai
为	wri
来	loi
我	~o
到	dou
出	c!t
要	jiu
以	ji
时	si
和	wo
地	dei
们	mun
得	drk
可	ho
下	ha
对	d!i
生	sa~
也	ja
子	zi
就	zru
过	#o
能	nr~
他	ta
会	wui
多	do
发	fat
说	svt
而	ji
于	jv
自	zi
之	zi
用	ju~
年	nin
行	ha~
家	ga
方	fo~
后	hru
作	zok
成	si~
开	hoi
面	min
事	si
好	hou
小	siu
心	srm
前	cin
所	so
道	dou
法	fat
如	jv
进	z!n
着	z@k
同	tu~
经	gi~
分	frn
定	di~
都	dou
然	jin
与	jv
本	bun
还	wan
其	kei
当	do~
起	hei
动	du~
已	ji
两	l@~
点	dim
从	cu~
问	mrn
里	l!i
主	zv
实	srt
天	tin
高	gou
去	h!i
现	jin
长	c@~
此	ci
三	sam
将	z@~
无	mou
国	#ok
全	cvn
文	mrn
理	lei
明	mi~
日	jrt
些	se
看	hon
只	zek
公	gu~
等	dr~
十	srp
意	ji
正	zi~
外	~oi
想	s@~
间	gan
把	ba
情	ci~
者	ze
没	mut
重	cu~
相	s@~
那	na
向	h@~
知	zi
因	jrn
样	j@~
学	hok
应	ji~
又	jru
手	sru
但	dan
信	s!n
关	#an
使	sri
种	zu~
见	gin
力	lik
名	me~
名	mi~
二	ji
处	cv
门	mun
并	bi~
口	hru
么	mo
先	sin
位	wri
头	tru
回	wui
话	wa
很	hrn
再	zoi
由	jru
身	srn
入	jrp
内	noi
第	dri
平	pi~
被	bei
给	krp
次	ci
别	bit
几	gei
月	jvt
真	zrn
立	lap
新	srn
通	tu~
少	siu
机	gei
打	da
水	s!i
果	#o
最	z!i
部	bou
何	ho
安	on
安	~on
接	zip
报	bou
声	se~
声	si~
才	coi
体	tri
今	grm
合	hrp
性	si~
西	sri
你	nei
放	fo~
表	biu
目	muk
加	ga
常	s@~
做	zou
己	gei
老	lou
四	sei
件	gin
解	gai
路	lou
更	ga~
更	gr~
走	zru
比	bei
总	zu~
金	grm
管	gun
光	#o~
工	gu~
结	git
提	tri
任	jrm
东	du~
原	jvn
便	bin
美	mei
及	grp
教	gau
难	nan
世	sri
至	zi
气	hei
神	srn
山	san
数	sou
利	lei
书	sv
代	doi
直	zik
色	sik
场	c@~
变	bin
记	gei
张	z@~
必	bit
受	sru
交	gau
非	fei
服	fuk
化	fa
求	kru
风	fu~
度	dou
太	tai
万	man
各	gok
算	svn
边	bin
王	wo~
什	srm
快	fai
许	h!i
连	lin
五	~
活	wut
思	si
该	goi
步	bou
海	hoi
指	zi
物	mrt
则	zrk
女	n!i
或	wak
完	jvn
马	ma
强	k@~
言	jin
条	tiu
特	drk
命	me~
命	mi~
感	grm
清	ce~
清	ci~
带	dai
认	ji~
保	bou
望	mo~
转	zvn
传	cvn
儿	ji
制	zri
干	gon
计	gri
民	mrn
白	bak
住	zv
字	zi
它	ta
义	ji
车	ce
像	z@~
反	fan
象	z@~
题	tri
却	k@k
流	lru
且	ce
即	zik
深	srm
近	grn
近	krn
形	ji~
取	c!i
往	wo~
系	hri
量	l@~
论	l!n
告	gou
息	sik
让	j@~
决	kvt
未	mei
花	fa
收	sru
满	mun
每	mui
华	wa
业	jip
南	nam
觉	gok
觉	gau
电	din
