的	dik
一	jrt
了	liu
是	si
不	brt
我	~o
人	jrn
在	zoi
这	ze
他	ta
有	jru
来	loi
来	lri
道	dou
你	nei
个	go
大	dai
到	dou
上	s@~
说	s!i
说	svt
们	mun
着	z@k
出	c!t
中	zu~
地	dei
那	na
就	zru
也	ja
下	ha
要	jiu
么	mo
子	zi
时	si
为	wri
然	jin
可	ho
她	ta
过	#o
之	zi
以	ji
看	hon
会	wui
得	drk
天	tin
去	h!i
自	zi
好	hou
心	srm
和	wo
和	wu
没	mut
能	nr~
对	d!i
后	hru
还	wan
里	lei
里	l!i
小	siu
手	sru
而	ji
起	hei
只	zek
只	zi
身	srn
想	s@~
都	dou
头	tru
如	jv
无	mou
面	min
多	do
已	ji
发	fat
事	si
生	sa~
生	sr~
知	zi
家	ga
前	cin
声	se~
声	si~
开	hoi
方	fo~
经	gi~
现	jin
笑	siu
什	srm
什	srp
什	zap
力	lik
点	dim
两	l@~
法	fat
国	#ok
样	j@~
所	so
成	se~
成	si~
意	ji
见	gin
但	dan
老	lou
用	ju~
又	jru
情	ci~
于	jv
当	do~
动	du~
己	gei
些	se
行	ha~
行	ho~
此	ci
眼	~an
气	hei
把	ba
回	wui
话	wa
将	z@~
真	jrn
真	zrn
长	c@~
长	z@~
三	sam
间	gan
进	z!n
年	nin
神	srn
明	mi~
十	srp
女	n!i
向	h@~
定	di~
正	ze~
正	zi~
实	srt
本	bun
很	hrn
同	tu~
从	cu~
从	su~
高	gou
问	mrn
才	coi
全	cvn
被	bei
被	pei
主	zv
再	zoi
走	zru
却	k@k
儿	ji
分	frn
口	hru
其	kei
作	zok
种	zu~
几	gei
外	~oi
打	da
最	z!i
门	mun
与	jv
给	krp
光	#o~
白	bak
等	dr~
听	te~
听	ti~
因	jrn
重	cu~
重	zu~
少	siu
风	fu~
相	s@~
住	zv
次	ci
何	ho
让	j@~
色	sik
二	ji
公	gu~
日	jrt
怎	zrm
名	me~
名	mi~
死	sei
死	si
便	bin
便	pin
位	wri
部	bou
果	#o
应	ji~
体	tri
感	grm
太	tai
内	noi
觉	gok
觉	gau
水	s!i
先	sin
难	nan
王	wo~
比	bei
别	bit
入	jrp
边	bin
第	dri
直	zik
机	gei
理	lei
快	fai
更	ga~
更	gr~
做	zou
处	cv
者	ze
并	bi~
接	zip
西	sri
马	ma
轻	he~
轻	hi~
四	sei
关	#an
山	san
月	jvt
放	fo~
连	lin
加	ga
目	muk
脸	lim
飞	fei
使	sri
龙	lu~
强	k@~
张	z@~
由	jru
金	grm
立	lap
叫	giu
安	on
师	si
吧	ba
剑	gim
信	s!n
学	hok
军	#rn
望	mo~
算	svn
原	jvn
美	mei
像	z@~
平	pe~
平	pi~
东	du~
场	c@~
吗	ma
战	zin
特	drk
万	man
数	sou
云	wrn
清	ci~
清	ce~
今	grm
变	bin
任	jrm
空	hu~
表	biu
完	jvn
合	gap
合	hrp
带	dai
常	s@~
量	l@~
海	hoi
受	sru
解	gai
文	mrn
命	me~
命	mi~
转	zvn
斯	si
通	tu~
冷	la~
思	si
黑	hak
世	sri
该	goi
双	s@~
利	lei
至	zi
非	fei
林	lrm
呢	ne
呢	nei
新	srn
步	bou
候	hru
五	~
李	lei
度	dok
度	dou
虽	s!i
路	lou
惊	ge~
惊	gi~
微	mei
跟	grn
似	ci
物	mrt
许	h!i
化	fa
制	zri
火	fo
性	si~
反	fan
武	mou
总	zu~
指	zi
系	hri
结	git
花	fa
亲	crn
教	gau
功	gu~
刚	go~
提	tri
杀	sat
竟	gi~
士	si
远	jvn
百	bak
红	hu~
它	ta
离	lei
满	mun
找	zau
落	lok
容	ju~
必	bit
深	srm
城	se~
城	si~
拉	lai
奇	gei
奇	kei
若	j@k
各	gok
失	srt
尔	ji
言	jin
传	cvn
传	zvn
且	ce
形	ji~
青	ce~
青	ci~
石	sek
干	gon
半	bun
近	grn
近	krn
认	ji~
怕	pa
队	d!i
电	din
夫	fu
往	wo~
突	drt
吃	hek
啊	a
倒	dou
活	wut
件	gin
随	c!i
绝	zvt
刻	hrk
刻	hak
息	sik
即	zik
工	gu~
早	zou
极	gik
乎	fu
界	gai
记	gei
紧	grn
怪	#ai
流	lru
报	bou
车	ce
车	g!i
管	gun
音	jrm
衣	ji
保	bou
暗	rm
暗	~rm
弟	dri
弟	di
及	krp
交	gau
影	ji~
华	wa
爱	~oi
精	ze~
精	zi~
伤	s@~
势	sri
民	mrn
令	li~
计	gri
决	kvt
玉	juk
服	fuk
条	tiu
众	zu~
领	le~
领	li~
哥	go
南	nam
般	bun
元	jvn
罗	lo
收	sru
未	mei
始	ci
办	ban
题	tri
星	si~
克	hrk
根	grn
谁	s!i
阵	zrn
则	zrk
象	z@~
男	nam
达	dat
告	gou
告	guk
展	zin
击	gik
坐	co
灵	li~
灵	le~
血	hvt
整	zi~
员	jvn
兵	bi~
急	grp
千	cin
切	cri
切	cit
越	jvt
喜	hei
语	jv
站	zam
请	ce~
请	ci~
德	drk
帮	bo~
敢	grm
消	siu
业	jip
姐	ze
周	zru
视	si
字	zi
八	bat
每	mui
苦	fu
房	fo~
忙	mo~
雷	l!i
团	tvn
片	pin
哪	na
尽	z!n
书	sv
备	bei
求	kru
司	si
北	brk
静	zi~
错	co
断	dvn
断	tvn
准	z!n
江	go~
刀	dou
建	gin
兄	hi~
终	zu~
足	zuk
兴	hi~
冲	cu~
阳	j@~
代	doi
或	wak
楚	co
底	dri
夜	je
术	s!t
格	gak
识	sik
持	ci
答	dap
哈	ha
哈	ka
留	lru
确	kok
易	ji
易	jik
七	crt
论	l!n
父	fu
拿	na
程	ci~
阿	a
阿	o
害	hoi
族	zuk
破	po
孩	hoi
魔	mo
官	gun
沉	crm
显	hin
够	gru
宝	bou
取	c!i
单	dan
单	sin
掌	z@~
务	mou
低	dri
雪	svt
响	h@~
布	bou
市	si
摇	jiu
依	ji
久	gru
级	krp
首	sru
运	wrn
朝	ciu
朝	ziu
待	doi
娘	n@~
客	hak
统	tu~
忽	frt
速	cuk
复	fuk
修	sru
欢	fun
异	ji
式	sik
护	wu
爷	je
况	fo~
脚	g@k
招	ziu
九	gru
集	zap
区	k!i
晚	man
铁	tit
黄	wo~
友	jru
亚	a
除	c!i
钱	cin
送	su~
兰	lan
联	lvn
政	zi~
义	ji
丝	si
古	gu
六	luk
器	hei
甚	srm
照	ziu
基	gei
闪	sim
院	jvn
装	zo~
居	g!i
产	can
呼	fu
杨	j@~
露	lou
句	g!i
乱	lvn
举	g!i
敌	dik
斗	dru
香	h@~
停	ti~
台	toi
群	$rn
嘴	z!i
希	hei
酒	zru
巴	ba
怀	wai
议	ji
类	l!i
支	zi
慢	man
陈	crn
仙	sin
段	dvn
调	diu
调	tiu
顿	d!n
派	pai
英	ji~
喝	hot
期	kei
威	wri
另	li~
府	fu
改	goi
旁	po~
资	zi
续	zuk
造	zou
乐	lok
乐	~ok
攻	gu~
左	zo
愿	jvn
围	wri
疑	ji
念	nim
引	jrn
热	jit
怒	nou
退	t!i
缓	wun
线	sin
注	zv
细	sri
图	tou
背	bui
需	s!i
痛	tu~
观	gun
组	zou
雨	jv
曾	cr~
曾	zr~
约	j@k
包	bau
木	muk
技	gei
示	si
皇	wo~
据	g!i
差	ca
差	cai
差	ci
设	cit
密	mrt
谢	ze
鬼	#ri
穿	cvn
脑	nou
赶	gon
莫	mok
丽	lri
品	brn
叶	jip
叶	hip
既	gei
存	cvn
睛	zi~
宫	gu~
烈	lit
诉	sou
追	z!i
推	t!i
您	nei
右	jru
商	s@~
争	za~
争	zr~
角	gok
淡	dam
淡	tam
止	zi
谈	tam
严	jim
恶	~o
恶	wu
狂	$o~
挥	fri
亮	l@~
卫	wri
闻	mrn
忍	jrn
态	tai
汉	hon
继	gri
模	mou
银	~rn
