\u3400	QIU1
\u3401	TIAN3 TIAN4
\u3404	KUA4
\u3405	WU3
\u3406	YIN3
\u340C	SI4 YI2
\u3416	YE4
\u341C	CHOU2
\u3421	NUO4
\u3424	QIU2
\u3428	XU4
\u3429	XING2
\u342B	XIONG1
\u342C	LIU2
\u342D	LIN3
\u342E	XIANG1
\u342F	YONG1
\u3430	XIN4
\u3431	ZHEN3
\u3432	DAI4
\u3433	WU4
\u3434	PAN1
\u3437	MA3 MA4 MIAN2
\u3438	QIAN4
\u3439	YI4
\u343A	ZHONG4
\u343B	N3 NEI4 NG3
\u343C	CHENG4 ZHENG3
\u3441	ZHUO1
\u3442	FANG3 PANG2
\u3443	AO3
\u3444	WU3
\u3445	ZUO4
\u3447	ZHOU4
\u3448	DONG4
\u3449	SU4
\u344A	YI4
\u344B	JIONG4 KONG3 QIONG2
\u344C	WANG1 KUANG1
\u344D	LEI3 LEI4
\u344E	NAO3
\u344F	ZHU4
\u3454	XU3
\u3458	JIE4
\u3459	DIE2 YONG3
\u345A	NUO2
\u345B	SU4
\u345C	YI4
\u345D	LONG4
\u345E	YING4
\u345F	BENG3 BO2 PENG3
\u3463	LAN2
\u3464	MIAO2
\u3465	YI4
\u3466	LI4
\u3467	JI4
\u3468	YU3
\u3469	LUO2
\u346A	CHAI2
\u346E	HUN2
\u346F	XU3
\u3470	HUI4
\u3471	RAO3
\u3473	ZHOU4
\u3475	HAN4 JI2 JIE2 ZHA3 ZI2
\u3476	XI4
\u3477	TAI4 TIAN4 ZHUAN4
\u3478	AI3 YAO2 YOU2
\u3479	HUI4
\u347A	JUN4
\u347B	MA4
\u347C	LÜE4
\u347D	TANG2
\u347E	XIAO2 YAO2
\u347F	TIAO2 ZHAO4
\u3480	ZHA3
\u3481	YU3 YUN4
\u3482	KU4 ZHUO2
\u3483	ER4
\u3484	NANG4 NEN4 RAN3
\u3485	QI3
\u3486	CHI4 KE4 XI4 XIAO4 YAN4
\u3487	MU4 WU3
\u3488	HAN4
\u3489	TANG3
\u348A	SE4
\u348C	QIONG2
\u348D	LEI2 LEI3
\u348E	SA3 SA4 TAN4
\u3491	HUI4 KUI3
\u3492	PU2
\u3493	TA4
\u3494	SHU3
\u3496	OU3
\u3497	TAI2
\u3499	MIAN2
\u349A	WEN3
\u349B	DIAO4
\u349C	YU2 YU3
\u349D	MIE4 WA4
\u349E	JUN4 KE3
\u349F	NIAO3
\u34A0	XIE4
\u34A1	YOU2
\u34A4	SHE4
\u34A6	LEI3
\u34A7	LI4
\u34A9	LUO3
\u34AB	JI4
\u34B0	QUAN2
\u34B2	CAI2
\u34B3	LIANG3
\u34B4	GU3
\u34B5	MAO4
\u34B7	GUA3 XING4 XU3
\u34B8	SUI4 XUAN2
\u34BB	MAO4
\u34BC	MAN2
\u34BE	SHI4
\u34BF	LI2 LI4
\u34C1	WANG3
\u34C2	KOU4
\u34C3	CHUI2 DU4 ZHA4
\u34C4	ZHEN4
\u34C8	BING4 BEI4 FEI4 YE4
\u34C9	HUAN4 HUO2 HUO4
\u34CA	DONG4
\u34CB	GONG4
\u34CE	LIAN2 QIN3 QIN4
\u34CF	JIONG3
\u34D0	LU4
\u34D1	XING4
\u34D3	NAN2
\u34D4	XIE4
\u34D6	BI4 BIE2
\u34D7	JIE2 QI3
\u34D8	SU4
\u34DC	YOU4
\u34DD	XING2
\u34DE	QI4 QIA4 YAO2
\u34E0	DIAN4
\u34E1	FU3
\u34E2	LUO4
\u34E3	QIA4
\u34E4	JIE2 QIA4
\u34E7	YAN3
\u34E8	CI2 CI4
\u34EA	LANG3
\u34ED	HE2
\u34EF	LI2
\u34F0	HUA4
\u34F1	TOU2
\u34F2	PIAN4
\u34F4	JUN4 RUAN3
\u34F5	E4
\u34F6	QIE4
\u34F7	YI4
\u34F8	JUE2 ZHUO2
\u34F9	RUI4
\u34FA	JIAN4
\u34FC	CHI4 CHONG4
\u34FD	CHONG2
\u34FE	CHI2
\u3500	LÜE4 QING2
\u3502	LIN2
\u3503	JUE2 PI4
\u3504	SU4
\u3505	XIAO4
\u3506	CHAN2
\u3509	ZHU2
\u350A	DAN3
\u350B	JIAN4 LAN2 LAN4
\u350C	ZHOU4
\u350D	DUO3 ZHA2
\u350E	XIE4 YI4
\u350F	LI4
