〇	ly:2 yr:2 xy:1
㐀	qq:1
㐁	tm:4
㐄	kx:4
㐅	wu:3
㐆	yn:3
㐌	yi:2
㐖	xp:2
㐜	iz:2
㐡	no:4
㐤	dj:1 qq:2
㐨	xu:4
㐩	xy:2
㐫	xs:1
㐬	lq:2
㐭	ln:3
㐮	xl:1
㐯	ys:1
㐰	xn:4
㐱	vf:3
㐲	dd:4
㐳	wu:4
㐴	pj:1
㐵	ru:2
㐷	ma:3
㐸	qm:4 ci:4
㐹	yi:4
㐺	yn:2 vs:4
㐻	nw:4
㐼	ig:4
㐽	fg:1
㑁	vo:1
㑂	fh:3
㑃	ao:3
㑄	wu:3
㑅	zo:4
㑇	vz:4
㑈	ds:4
㑉	su:4
㑊	yi:4
㑋	qs:2
㑌	kl:1 wh:1
㑍	lw:4
㑎	nk:3
㑏	vu:4
㑐	uu:1
㑔	xu:3
㑗	uf:1
㑘	jp:4
㑙	dp:2
㑚	no:2
㑛	su:4
㑜	yi:4 ii:4
㑝	ls:4
㑞	yy:4
㑟	bg:3
㑣	lj:2
㑤	mc:2
㑥	yi:4
㑦	li:4
㑧	ji:4
㑨	yu:3
㑩	lo:2
㑪	id:2
㑮	hb:2
㑯	xu:3
㑰	hv:4
㑱	rk:3
㑳	vz:4 vu:1
㑵	hj:4
㑶	xi:4
㑷	td:4
㑸	yk:2
㑹	hv:4
㑺	jb:4
㑻	ma:4
㑼	ly:4
㑽	th:2
㑾	yk:2
㑿	vk:4
㒀	vd:1 va:3
㒁	yu:3
㒂	vo:2
㒃	er:4
㒄	rj:3
㒅	qi:3
㒆	ii:4
㒇	wu:3
㒈	hj:4
㒉	th:3
㒊	se:4
㒌	qs:2
㒍	lw:2
㒎	sa:4
㒑	kv:3 hv:4
㒒	pu:2
㒓	ta:4
㒔	uu:2 du:2 tu:4
㒕	yh:1
㒖	nz:3
㒗	td:2
㒙	mm:2
㒚	yn:4 wf:3
㒛	dc:4
㒜	yu:3
㒝	mp:4 wa:4
㒞	jb:4
㒟	nc:3
㒠	xp:4
㒡	yz:2
㒤	ie:4
㒥	fg:1
㒦	lw:3 lw:4
㒧	li:4
㒩	lo:3
㒫	ji:4
㒰	qr:2
㒲	cd:2
㒳	ll:3
㒴	gu:3
㒵	mk:4
㒷	gx:4
㒸	sv:4
㒻	mk:4
㒼	mj:2
㒽	qr:1
㒾	ui:4
㒿	li:2
㓁	wh:3
㓂	kz:4
㓃	du:4
㓄	vf:4
㓅	ty:1
㓈	by:4
㓉	ho:4
㓊	ds:4
㓋	gs:4
㓌	ig:1
㓎	qn:1 qn:4 qn:3
㓏	js:3
㓐	lu:4
㓑	xy:4
㓓	nj:2
㓔	xp:4
㓖	bi:4
㓗	jp:2
㓘	su:4
㓚	gs:1
㓜	yz:4
㓝	xy:2
㓞	qx:4
㓟	pi:2
㓠	dm:4 dm:3
㓡	fu:3 gx:1
㓢	lo:4
㓣	qx:4 ge:1
㓤	qx:4
㓥	th:1
㓦	bd:1
㓧	gj:1
㓨	ci:2
㓩	xr:1 jp:1
㓪	lh:3
㓭	ue:2
㓯	li:2
㓰	hx:4
㓱	tz:2 uu:1
㓲	pm:1
㓳	di:1
㓴	rr:3
㓵	ee:4
㓶	qp:4
㓷	yi:4
㓸	vo:1 dz:1
㓹	rv:4 cv:4 ji:4
㓺	jm:1 qm:2
㓼	ii:4
㓽	is:2
㓾	xi:1 ii:2
㔀	ly:4
㔁	dg:1
㔂	ln:2
㔃	jt:2 xt:1
㔄	su:4
㔅	xc:4
㔆	zj:4
㔉	vu:3
㔊	vj:3 dj:3
㔋	jm:1 lj:2
㔌	zz:4 cz:3
㔍	ix:1 va:2
㔎	xp:4
㔏	li:4 lo:3
㔑	ii:4
㔒	xi:2
㔓	jm:3
㔕	ji:2
㔗	fw:4 bw:4 fu:2
㔘	iu:4
㔙	bg:1
㔚	jp:2
㔜	ba:2
㔝	ll:3 ll:2
㔞	ky:4
㔠	xx:1 he:2
㔡	bp:1
㔢	jt:2 xt:1
㔣	lw:2
㔤	xn:4
㔥	bd:4 pi:2
㔦	yh:3
㔧	lv:4
㔨	bw:4
㔩	ee:4
㔪	lu:3
㔭	ie:4
㔮	no:2
㔯	xr:2 sr:3
㔰	hg:2
㔱	yu:3
㔳	gv:3
㔴	yi:4
㔵	xr:3
㔶	gs:4 gj:3
㔷	lz:4
㔸	ti:1
㔹	le:4
㔺	ui:4
㔼	sb:3
㔽	yk:4
㔾	xm:1 jp:2
㔿	zz:4
㕁	qt:4
㕂	yn:2 qn:2
㕃	xi:1
㕄	vi:3
㕅	jx:2
㕆	hu:4
㕇	la:1
㕈	yi:3
㕉	ke:4
㕊	fu:1
㕋	qn:2
㕌	ai:4
㕎	ke:4
㕏	iu:2
㕐	xp:3 xp:4
㕑	iu:2
㕒	ww:1
㕕	hr:4
㕖	su:4
㕗	yz:4
㕙	jb:4
㕚	vk:3
㕛	xu:4
㕜	ui:3
㕞	ux:1
㕟	kv:4 ky:4
㕠	ul:1
㕡	he:2
㕢	gd:4 hj:4
㕣	yj:3
㕤	qq:2
㕥	uf:1
㕦	hx:4
㕧	xi:1
㕨	fj:4
㕩	ph:4
㕪	dj:3
㕫	fh:3 fg:1
㕬	gs:1 ss:4
㕭	ao:1 ao:4
㕮	fu:3
㕯	ne:4
㕰	xt:4 ma:5
㕱	yz:2
㕲	hx:2 yy:2
㕴	if:2
㕵	go:2
㕶	n:3 ng:3
㕷	hx:4 pa:1
㕸	li:4
㕹	fa:2
㕺	xc:1
㕻	pz:3
㕽	si:4
㖀	le:4
㖁	ln:4
㖂	yi:4
㖃	hz:3 hz:4
㖅	xu:4
㖆	qu:2
㖇	er:2
㖊	xb:2
㖏	np:4
㖐	ww:3
㖑	xp:4
㖒	ti:2
㖓	hs:2
㖔	tb:3
㖕	np:4 xn:1
㖖	np:4
㖗	yn:2
㖘	vf:1
㖞	wd:1
㖟	uz:4
㖠	no:4
㖡	ye:4
㖢	qi:2
㖣	tz:4
㖤	hj:4
㖥	jb:4
㖦	ds:3
㖧	hb:1 wf:3
㖨	lu:4
㖩	ju:1 sz:3
㖪	ho:4 go:2 xu:4
㖫	ly:2
㖭	tm:3
㖮	lb:2
㖵	ge:2
㖶	yj:1 ye:4 yn:1
㖷	ui:2 ti:2
㖸	xt:2 nx:1
㖹	pf:1 ff:4
㖺	ib:3
㖻	nq:2 rz:4
㖼	do:3
㖽	ze:2
㖾	ee:4
㖿	xp:2 ye:2
㗀	yz:1
㗁	ee:4
㗂	ug:3
㗃	wf:3 hb:1
㗄	ku:1
㗅	hu:2
㗆	ge:2
㗇	xx:2 ya:5
㗈	mj:4
㗉	ly:4 ee:4
㗊	ji:2 lw:2
㗋	hz:2
㗌	vi:4
㗏	wd:1
㗑	bd:5
㗒	ai:4
㗓	vv:1
㗔	qm:1
㗕	gz:4 gz:1
㗖	dj:4
㗗	bw:1
㗘	bo:2
㗙	iu:1 na:4 vz:1
㗚	li:4
㗛	xc:4
㗜	xq:4
㗢	hs:2 ds:4 hs:4
㗣	ti:4
㗤	cu:4
㗥	ko:4 go:1
㗦	lk:2
㗧	vi:4 dp:2
㗨	xp:1 ai:3
㗩	xi:1
㗫	qp:4
㗬	va:1
㗭	xi:1
㗰	cs:2
㗱	ji:2
㗲	ho:4
㗳	ta:3 da:1
㗴	yj:2
㗵	xu:4
㗶	po:1
㗷	sd:3
㗻	go:1
㗼	ye:4
㗽	xl:3
㗾	xt:1
㗿	he:2 xx:4 xx:1
㘀	zo:4
㘁	yi:4
㘂	ci:2
㘄	lg:1
㘅	xm:2
㘆	td:3
㘇	rs:2
㘈	yi:4 ni:3
㘉	vi:4
㘊	xi:1 yi:4
㘋	xm:2
㘌	ju:4
㘍	ji:2
㘎	hj:3
㘐	pk:4
㘑	li:4
㘓	lj:2
㘔	sd:3
㘕	hj:3 lj:2
㘖	yj:2
㘗	qu:1
㘙	yj:2
㘚	hj:3
㘛	kj:1
㘜	ii:3
㘝	np:4
㘞	ho:4
㘠	bi:4
㘡	xx:2
㘢	wg:3
㘣	xr:2 yr:2
㘤	wj:1
㘥	yz:2
㘦	qn:2
㘧	xu:4
㘨	np:4
㘩	bi:4
㘪	hk:4
㘫	jy:3
㘬	ao:4 wu:4
㘭	ao:4
㘰	vf:1
㘱	tj:1
㘲	ju:2
㘴	zo:4
㘵	bu:4
㘶	jp:2
㘷	ai:4
㘸	zh:4 zo:4
㘹	ci:2
㘺	fa:2
㘿	np:4
㙀	lq:4 jq:4
㙁	mw:2 mu:4
㙂	dv:4 wg:4
㙃	bh:1
㙄	bi:4
㙅	bk:3
㙇	iu:4
㙈	xx:4
㙉	tm:3
㙊	ih:2 vh:4
㙍	do:1
㙎	ww:1
㙏	fu:4
㙐	do:3
㙑	yu:3
㙒	ye:3
㙓	kv:2
㙔	ww:3 hj:4
㙕	ky:4
㙗	ww:1
㙘	yk:1
㙙	ls:3
㙚	xy:1
㙛	bu:3
㙜	ii:2
㙝	xp:2
㙞	np:4
㙟	lh:3
㙠	yi:1 yi:4
㙡	zs:1
㙢	mj:2
㙣	vh:4
㙤	xx:4
㙥	gb:4
㙦	xp:2
㙨	ji:4
㙩	lc:2
㙪	yi:4
㙫	ji:2
㙬	yn:2
㙮	da:1 da:5
㙯	yi:4
㙰	xp:4
㙱	hk:4
㙲	ys:3
㙳	kj:3 hj:3
㙴	ij:4
㙵	td:2
㙶	th:2
㙷	vi:2 ve:2
㙸	bk:4
㙹	mg:2
㙺	kv:2 gv:4
㙻	ij:2
㙼	lw:3
㙾	xi:4
㚀	xi:1
㚁	qc:4
㚂	nh:4
㚃	yb:1
㚅	ls:2
㚆	fu:4
㚇	zs:1
㚉	gu:3
㚊	kd:1
㚋	dc:1
㚌	hx:4
㚍	kv:3 kv:4
㚏	gk:3
㚐	tk:4
㚒	uj:3
㚓	ld:3
㚔	np:4 xy:4
㚕	fu:2
㚖	gk:3 ze:2
㚗	qp:2
㚘	bj:4 he:4 fu:2
㚙	jx:1
㚚	ks:1 kl:1
㚛	xi:4
㚜	yu:4 xu:4
㚝	vv:1
㚞	uf:3
㚟	io:4
㚠	xc:1
㚡	ji:3
㚢	nu:2 wu:3
㚣	xc:2
㚤	yi:4
㚥	yu:2
㚦	yi:2
㚧	yj:3
㚨	uf:3
㚩	rj:3
㚪	hk:4
㚫	sa:4
㚬	jb:1
㚭	yz:2
㚯	xn:2
㚰	pw:1 bi:3
㚱	qq:1
㚲	ij:1 dm:3 dm:4
㚴	bu:4
㚵	ds:1
㚶	si:4 yi:2
㚷	er:3
㚹	mk:3 lq:3
㚺	yb:4
㚻	ji:1
