ā	aa:1
á	aa:2
ǎ	aa:3
à	aa:4
a	aa:5
āng	ah:1
áng	ah:2
ǎng	ah:3
àng	ah:4
ang	ah:5
āi	ai:1
ái	ai:2
ǎi	ai:3
ài	ai:4
ān	an:1
án	an:2
ǎn	an:3
àn	an:4
āo	ao:1
áo	ao:2
ǎo	ao:3
ào	ao:4
bā	ba:1
bá	ba:2
bǎ	ba:3
bà	ba:4
ba	ba:5
biāo	bc:1
biáo	bc:2
biǎo	bc:3
biào	bc:4
bāi	bd:1
bái	bd:2
bǎi	bd:3
bài	bd:4
bai	bd:5
bēn	bf:1
bén	bf:2
běn	bf:3
bèn	bf:4
bēng	bg:1
béng	bg:2
běng	bg:3
bèng	bg:4
beng	bg:5
bāng	bh:1
báng	bh:2
bǎng	bh:3
bàng	bh:4
bī	bi:1
bí	bi:2
bǐ	bi:3
bì	bi:4
bān	bj:1
bán	bj:2
bǎn	bj:3
bàn	bj:4
ban	bj:5
bāo	bk:1
báo	bk:2
bǎo	bk:3
bào	bk:4
biān	bm:1
bián	bm:2
biǎn	bm:3
biàn	bm:4
bian	bm:5
bīn	bn:1
bín	bn:2
bǐn	bn:3
bìn	bn:4
bin	bn:5
bō	bo:1
bó	bo:2
bǒ	bo:3
bò	bo:4
bo	bo:5
biē	bp:1
bié	bp:2
biě	bp:3
biè	bp:4
bū	bu:1
bú	bu:2
bǔ	bu:3
bù	bu:4
bēi	bw:1
bei	bw:2
béi	bw:2
běi	bw:3
bèi	bw:4
bei	bw:5
bīng	by:1
bíng	by:2
bǐng	by:3
bìng	by:4
cā	ca:1
cá	ca:2
cǎ	ca:3
cà	ca:4
cūn	cb:1
cún	cb:2
cǔn	cb:3
cùn	cb:4
cāi	cd:1
cái	cd:2
cǎi	cd:3
cài	cd:4
cē	ce:1
cé	ce:2
cě	ce:3
cè	ce:4
cēn	cf:1
cén	cf:2
cěn	cf:3
cèn	cf:4
cēng	cg:1
céng	cg:2
cěng	cg:3
cèng	cg:4
cāng	ch:1
cáng	ch:2
cǎng	ch:3
càng	ch:4
cī	ci:1
cí	ci:2
cǐ	ci:3
cì	ci:4
cān	cj:1
cán	cj:2
cǎn	cj:3
càn	cj:4
cāo	ck:1
cáo	ck:2
cǎo	ck:3
cào	ck:4
cao	ck:5
cuō	co:1
cuó	co:2
cuǒ	co:3
cuò	co:4
cuān	cr:1
cuǎn	cr:3
cuàn	cr:4
cōng	cs:1
cóng	cs:2
cǒng	cs:3
còng	cs:4
cū	cu:1
cú	cu:2
cǔ	cu:3
cù	cu:4
cuī	cv:1
cuí	cv:2
cuǐ	cv:3
cuì	cv:4
cui	cv:5
cēi	cw:1
céi	cw:2
cěi	cw:3
cèi	cw:4
cōu	cz:1
cóu	cz:2
cǒu	cz:3
còu	cz:4
dā	da:1
dá	da:2
dǎ	da:3
dà	da:4
da	da:5
dūn	db:1
dún	db:2
dǔn	db:3
dùn	db:4
diāo	dc:1
diáo	dc:2
diǎo	dc:3
diào	dc:4
dāi	dd:1
dái	dd:2
dǎi	dd:3
dài	dd:4
dai	dd:5
dē	de:1
dé	de:2
dě	de:3
dè	de:4
de	de:5
dēn	df:1
dén	df:2
děn	df:3
dèn	df:4
dēng	dg:1
déng	dg:2
děng	dg:3
dèng	dg:4
dāng	dh:1
dáng	dh:2
dǎng	dh:3
dàng	dh:4
dang	dh:5
dī	di:1
dí	di:2
dǐ	di:3
dì	di:4
dān	dj:1
dán	dj:2
dǎn	dj:3
dàn	dj:4
dāo	dk:1
dáo	dk:2
dǎo	dk:3
dào	dk:4
diān	dm:1
