#level1
一	yiaa
上	uhaa
中	vsaa
里	liaa
而	eraa
面	mmaa
事	uiaa
十	uiaa
本	bfaa
再	zdaa
口	kzaa
与	yuaa
二	eraa
西	xiaa
由	yzaa
非	fwaa
五	wuaa
且	qpaa
工	gsaa
止	viaa
耳	eraa
野	yeaa
丁	dkaa
互	huaa
甲	jxaa
曲	quaa
井	jkaa
申	ufaa
巾	jbaa
串	iraa
凸	tuaa
凹	waaa
凹	aoaa
亘	gfaa
廿	nmaa
亙	gfaa
亜	yaaa
車	juaa
車	ieaa
円	yraa
冊	ceaa
門	mfaa
門	mfaa
頃	qkaa
頓	dyaa
鯉	liaa
鱗	lbaa
百	bdab
典	dmab
頼	ldab
耐	ndac
鮒	fuac
専	vrac
鱒	zyac
不	buad
下	xxad
天	tmad
小	xnad
内	nwad
求	qqad
雨	yuad
瓦	waad
虫	isad
寸	cyad
甫	fuad
卜	buad
卜	boad
豊	fgad
弐	erad
三	sjae
児	erae
鱈	xtae
雅	yaaf
鮫	jnaf
弼	biag
馬	maah
鰍	qqah
融	rsai
蚕	cjai
規	gvaj
帰	gvaj
石	uiak
石	djak
否	fzak
占	vjak
画	hxak
両	llak
鮎	nmak
鯛	dnak
勅	cial
勅	iial
麗	lial
来	ldan
大	daan
大	ddan
果	goan
水	uvan
更	ggan
夫	fuan
未	wwan
木	muan
史	uian
束	uuan
丈	vhan
妻	qian
央	yhan
末	moan
夷	yian
吏	lian
丙	bkan
農	nsan
長	vhan
長	ihan
婁	lzan
鹸	jman
東	dsan
業	yean
旧	jqao
曹	ccao
晋	jbao
魯	luao
鮪	wwao
鯖	qkao
鰭	qiao
才	cdap
万	wjap
形	xkap
牙	yaap
曳	yeap
暢	ihap
豆	dzaq
肉	rzar
里	liat
王	what
鮭	xpat
鮭	gvat
鰹	jmat
平	pkau
干	gjau
卓	voau
乾	qmau
乾	gjau
正	vgav
比	biav
整	vgav
北	bwav
七	qiav
歪	wdav
屯	vyav
屯	tyav
髭	ziav
糸	miav
糸	siav
夏	xxaw
璽	xiaw
鯨	jkax
爾	erax
叔	uuay
叢	csay
鮮	xmay
鰻	mjay
半	bjba
痛	tsba
写	xpba
宣	xrba
皆	jpba
羊	yhba
宙	vzba
窄	vdba
貞	vfba
貴	gvba
賛	zjba
購	gzba
頁	yeba
頒	bjba
額	eeba
穴	xtbb
冥	mkbb
宿	xqbb
宿	subb
寅	ybbb
貧	pbbb
賓	bbbb
守	uzbc
冠	grbc
痔	vibc
貰	uibc
的	debd
的	dibd
分	ffbd
寒	hjbd
泉	qrbd
窃	qpbd
寡	gxbd
券	xrbd
券	qrbd
寓	yubd
痢	libd
負	fubd
貯	vubd
資	zibd
賦	fubd
寧	nkbd
完	wjbe
密	mibe
癌	aibe
責	zebf
空	ksbg
貢	gsbg
窮	qsbg
窯	ycbh
蜜	mibi
軍	jybi
究	jqbj
冗	rsbj
質	vibj
寛	krbj
窺	kvbj
容	rsbk
害	hdbk
官	grbk
客	kebk
谷	gubk
痴	iibk
寄	jibk
窟	kubk
貼	tpbk
賂	lubk
賠	pwbk
賢	xmbk
員	yrbk
宮	gsbk
賀	hebl
寵	isbl
米	mibm
案	anbm
宋	ssbm
家	jxbn
安	anbn
病	bkbn
痕	hfbn
牢	lcbn
宴	yjbn
賑	vfbn
実	uibn
曾	zgbo
曾	cgbo
宵	xnbo
宥	yzbo
賄	hvbo
賭	dubo
贈	zgbo
曽	cgbo
曽	zgbo
弟	dibp
穿	irbp
疲	pibp
疹	vfbp
財	cdbp
貿	mcbp
賜	cibp
突	tubq
欲	yubq
宜	yibq
宅	vdbq
痘	dzbq
定	dkbr
貨	hobr
貸	ddbr
賃	lbbr
公	gsbs
宏	hsbs
買	mdbs
富	fubt
塞	sebt
塞	sdbt
窒	vibt
審	ufbt
宇	yubu
拳	qrbu
疾	jibu
宰	zdbu
癖	pibu
宕	dhbu
賊	zwbu
宛	yrbv
宛	wjbv
症	vgbv
貫	grbv
費	fwbv
巻	jrbv
捲	jrbv
宝	bcbw
皇	hlbw
甑	zgbw
父	fubx
察	iabx
宗	zsbx
寮	lnbx
賞	uhbx
憲	xmbx
療	lnbx
癒	yubx
寂	jiby
叛	pjby
翁	wgby
寝	qbby
疫	yiby
謄	tgby
販	fjby
痩	uzby
字	zibz
甘	gjca
董	dsca
革	geca
萱	xrca
芥	jpca
苧	vuca
苧	nkca
華	hxca
葎	lvca
葦	wwca
蔵	chca
蔵	zhca
黄	hlcb
共	gscb
薄	bocc
薄	bccc
蒋	jlcc
葬	zhcc
蔚	wwcc
蒔	uicc
莫	mocd
藤	tgcd
蔑	mpcd
蒲	pucd
葡	pucd
葵	kvcd
菟	tucd
苧	vucd
苧	nkcd
荊	jkcd
夢	mgcd
莞	wjce
莞	grce
茸	rsce
葺	qice
蔀	buce
芳	fhcf
萄	tccf
薩	sacf
難	njcf
芸	yycg
芸	yicg
茎	jkcg
菰	gucg
蒐	szcg
蒐	szcg
芦	luch
蒸	vgch
菌	jych
蕉	jnch
荻	dich
萩	qqch
蕪	wuch
薦	jmch
薫	xych
蘇	such
繭	jmci
幕	mucj
薪	xbcj
芹	qbcj
落	lock
落	lcck
落	lack
若	rock
苦	kuck
荷	heck
蓉	rsck
菩	puck
茄	qpck
茄	jxck
苛	keck
苔	tdck
菅	jmck
苫	ujck
蒼	chck
蕎	qnck
蕗	luck
勤	qbcl
募	mucl
某	mzcm
茶	iacm
菜	cdcm
菊	jucm
藻	zccm
藁	gccm
葉	yecm
葉	xpcm
蓋	gdcm
薬	yccm
藍	ljcm
驚	jkcm
英	ykcn
蒙	mgcn
莱	ldcn
芙	fucn
芝	vicn
萎	wwcn
蔦	nncn
蘭	ljcn
著	vuco
著	voco
著	veco
著	vcco
昔	xico
暮	muco
萌	mgco
薯	uuco
菖	ihco
藷	uuco
藷	vuco
茅	mccp
茂	mccp
芽	yacp
蕩	dhcp
蕨	jtcq
歎	tjcq
茨	cicr
芸	yycs
芸	yics
苓	lkcs
蒐	szcs
蔭	ybcs
墓	muct
苗	mnct
蓄	xuct
藩	fjct
蕃	fjct
蕃	boct
草	cccu
芋	yucu
荏	rfcu
荘	vlcu
世	uicv
花	hxcv
荒	hlcv
葛	gecv
巷	xlcv
巷	hhcv
苑	yrcv
芭	bacv
導	dccv
蔽	bicw
菱	lkcw
薮	szcw
慕	mucx
恭	gscx
惹	recx
茜	xicx
茜	qmcx
蕊	rvcx
弊	bicx
葱	cscx
芯	xbcx
蒜	srcx
蔓	wjcy
蔓	mjcy
蓑	socy
蓬	pgcz
蓮	lmcz
到	dcda
争	vgda
角	jnda
角	jtda
副	fuda
刺	cida
州	vzda
油	yzda
涌	ysda
洲	vzda
刑	xkda
湿	uida
津	jbda
刊	kjda
沸	fwda
濡	ruda
頂	dkda
沖	isda
浄	jkda
淵	yrda
