在	aut
有	auo
亜	aaa
肋	abaraol
炙	abuph
虻	abuiv
焙	abuhk
鐙	abumijd
油	aburada
脂	aburaoo
膏	aburawo
徒	adarr
仇	adarj
艷	adefv
東	adumaan
梓	adusamu
揚	agafp
騰	agaom
懸	agataxq
県	agataox
縣	agataqs
挙	agexu
揚	agefp
顎	agoka
煽	ahuhy
相	aimo
艾	aicx
愛	aivw
藍	aicm
間	aidamo
明	akaoo
朱	akapn
丹	akapa
赤	akatd
赫	akatd
垢	akatk
淦	akadj
紅	akasg
皸	akagirebp
皹	akagireai
茜	akanecx
明	akarioo
朱	akaripn
灯	akarihd
耀	akarugf
灯	akasihd
証	akasiyv
證	akasiyd
暁	akatukioe
曉	akatukioe
藜	akazacd
朱	akepn
開	akemk
曙	akebonooo
朱	akemipn
明	akioo
空	akibg
章	akilu
秋	akihh
晶	akioo
映	akion
璃	akiws
哲	akikf
昭	akiok
煌	akihw
倦	akirv
淳	akidz
暁	akioe
成	akiragv
明	akiraoo
正	akiraav
全	akirarw
光	akiraxe
公	akirabs
命	akirare
照	akiraho
亮	akirawj
章	akiralu
智	akiraou
彩	akiravp
盟	akiramo
晶	akiraoo
晃	akiraog
朗	akirado
享	akirawz
玲	akiraws
祥	akirapy
昂	akiraoe
昌	akiraoo
哲	akirakf
昭	akiraok
瞳	akiraoa
斌	akirawd
煌	akirahw
旭	akirajo
彬	akiramp
亨	akirawa
皓	akirabk
侃	akirarv
彰	akiralp
瑛	akirawn
璋	akirawu
曙	akiraoo
晁	akiraod
晟	akiraov
皎	akirabf
昶	akirado
叡	akiraay
啓	akirakh
憲	akirabx
旻	akiraow
晄	akiraoe
晢	akiraof
晧	akiraok
暁	akiraoe
暉	akiraoi
曄	akiraoa
曉	akiraoe
東	akiraan
洸	akirade
瞭	akiraox
聖	akirawe
聡	akiraex
聰	akiraex
聴	akiraex
覚	akiraxj
詮	akirayw
詳	akirayy
諦	akirayj
輝	akiragi
鏡	akiraje
鑑	akirajm
陽	akiraep
顕	akiraoa
顯	akiraoa
渥	akudt
悪	akuxa
芥	akutaca
圷	akututn
余	amarh
尼	amauv
甘	amaca
甜	amapc
剰	amadp
蜑	amaiz
周	amanepk
普	amaneqo
遍	amanezh
洽	amanedk
余	amarirh
天	amead
雨	amead
飴	ameuk
米	amerikabm
網	amisv
安	anbn
案	anbm
杏	anmk
庵	angv
餡	anua
孔	anazv
穴	anabb
坑	anatj
侮	anadord
窖	anagurabk
姐	anenq
姉	anena
兄	anike
豈	anied
嫂	aniyomeny
鮟	ankouan
杏	anzumk
青	aofo
碧	aouw
煽	aohy
呷	aoka
蒼	aock
黝	aogurohl
碧	aoiuw
葵	aoicd
蒼	aoick
万	araap
非	araaa
新	aralj
粗	aramq
荒	aracv
疏	aravv
鉱	araganejs
新	arailj
洗	araide
塔	araragitk
蘭	araragicn
嵐	arasief
新	aratalj
改	aratawv
改	aratamewv
砺	aratoup
露	arawayk
顕	arawaoa
蟻	ariid
濯	aroudf
或	aruga
行	arukird
主	aruzidw
朝	asauo
麻	asagm
旦	asaoa
浅	asadg
漁	asada
旭	asahijo
鯏	asarida
汗	asedu
焦	asehr
足	asikr
脚	asioe
芦	asich
葦	asica
蘆	asicm
蹇	asinaebz
朝	asitauo
趾	asiyubizv
中	ataaa
当	ataxe
与	ataeaa
與	ataepb
価	atairx
値	atairv
頭	atamadb
新	atarasilj
中	atariaa
當	atarixt
辺	atarizd
中	ataruaa
充	ataruwe
当	atexe
宛	atebv
痕	atobn
後	atorw
