#level1
一	aayi
上	aauh
中	aavs
里	aali
而	aaer
面	aamm
事	aaui
十	aaui
本	aabf
再	aazd
口	aakz
与	aayu
二	aaer
西	aaxi
由	aayz
非	aafw
五	aawu
且	aaqp
工	aags
止	aavi
耳	aaer
野	aaye
丁	aadk
互	aahu
甲	aajx
曲	aaqu
井	aajk
申	aauf
巾	aajb
串	aair
凸	aatu
凹	aawa
凹	aaao
亘	aagf
廿	aanm
亙	aagf
亜	aaya
車	aaju
車	aaie
円	aayr
冊	aace
門	aamf
門	aamf
頃	aaqk
頓	aady
鯉	aali
鱗	aalb
百	abbd
典	abdm
頼	abld
耐	acnd
鮒	acfu
専	acvr
鱒	aczy
不	adbu
下	adxx
天	adtm
小	adxn
内	adnw
求	adqq
雨	adyu
瓦	adwa
虫	adis
寸	adcy
甫	adfu
卜	adbu
卜	adbo
豊	adfg
弐	ader
三	aesj
児	aeer
鱈	aext
雅	afya
鮫	afjn
弼	agbi
馬	ahma
鰍	ahqq
融	airs
蚕	aicj
規	ajgv
帰	ajgv
石	akui
石	akdj
否	akfz
占	akvj
画	akhx
両	akll
鮎	aknm
鯛	akdn
勅	alci
勅	alii
麗	alli
来	anld
大	anda
大	andd
果	ango
水	anuv
更	angg
夫	anfu
未	anww
木	anmu
史	anui
束	anuu
丈	anvh
妻	anqi
央	anyh
末	anmo
夷	anyi
吏	anli
丙	anbk
農	anns
長	anvh
長	anih
婁	anlz
鹸	anjm
東	ands
業	anye
旧	aojq
曹	aocc
晋	aojb
魯	aolu
鮪	aoww
鯖	aoqk
鰭	aoqi
才	apcd
万	apwj
形	apxk
牙	apya
曳	apye
暢	apih
豆	aqdz
肉	arrz
里	atli
王	atwh
鮭	atxp
鮭	atgv
鰹	atjm
平	aupk
干	augj
卓	auvo
乾	auqm
乾	augj
正	avvg
比	avbi
整	avvg
北	avbw
七	avqi
歪	avwd
屯	avvy
屯	avty
髭	avzi
糸	avmi
糸	avsi
夏	awxx
璽	awxi
鯨	axjk
爾	axer
叔	ayuu
叢	aycs
鮮	ayxm
鰻	aymj
半	babj
痛	bats
写	baxp
宣	baxr
皆	bajp
羊	bayh
宙	bavz
窄	bavd
貞	bavf
貴	bagv
賛	bazj
購	bagz
頁	baye
頒	babj
額	baee
穴	bbxt
冥	bbmk
宿	bbxq
宿	bbsu
寅	bbyb
貧	bbpb
賓	bbbb
守	bcuz
冠	bcgr
痔	bcvi
貰	bcui
的	bdde
的	bddi
分	bdff
寒	bdhj
泉	bdqr
窃	bdqp
寡	bdgx
券	bdxr
券	bdqr
寓	bdyu
痢	bdli
負	bdfu
貯	bdvu
資	bdzi
賦	bdfu
寧	bdnk
完	bewj
密	bemi
癌	beai
責	bfze
空	bgks
貢	bggs
窮	bgqs
窯	bhyc
蜜	bimi
軍	bijy
究	bjjq
冗	bjrs
質	bjvi
寛	bjkr
窺	bjkv
容	bkrs
害	bkhd
官	bkgr
客	bkke
谷	bkgu
痴	bkii
寄	bkji
窟	bkku
貼	bktp
賂	bklu
賠	bkpw
賢	bkxm
員	bkyr
宮	bkgs
賀	blhe
寵	blis
米	bmmi
案	bman
宋	bmss
家	bnjx
安	bnan
病	bnbk
痕	bnhf
牢	bnlc
宴	bnyj
賑	bnvf
実	bnui
曾	bozg
曾	bocg
宵	boxn
宥	boyz
賄	bohv
賭	bodu
贈	bozg
曽	bocg
曽	bozg
弟	bpdi
穿	bpir
疲	bppi
疹	bpvf
財	bpcd
貿	bpmc
賜	bpci
突	bqtu
欲	bqyu
宜	bqyi
宅	bqvd
痘	bqdz
定	brdk
貨	brho
貸	brdd
賃	brlb
公	bsgs
宏	bshs
買	bsmd
富	btfu
塞	btse
塞	btsd
窒	btvi
審	btuf
宇	buyu
拳	buqr
疾	buji
宰	buzd
癖	bupi
宕	budh
賊	buzw
宛	bvyr
宛	bvwj
症	bvvg
貫	bvgr
費	bvfw
巻	bvjr
捲	bvjr
宝	bwbc
皇	bwhl
甑	bwzg
父	bxfu
察	bxia
宗	bxzs
寮	bxln
賞	bxuh
憲	bxxm
療	bxln
癒	bxyu
寂	byji
叛	bypj
翁	bywg
寝	byqb
疫	byyi
謄	bytg
販	byfj
痩	byuz
字	bzzi
甘	cagj
董	cads
革	cage
萱	caxr
芥	cajp
苧	cavu
苧	cank
華	cahx
葎	calv
葦	caww
蔵	cach
蔵	cazh
黄	cbhl
共	cbgs
薄	ccbo
薄	ccbc
蒋	ccjl
葬	cczh
蔚	ccww
蒔	ccui
莫	cdmo
藤	cdtg
蔑	cdmp
蒲	cdpu
葡	cdpu
葵	cdkv
菟	cdtu
苧	cdvu
苧	cdnk
荊	cdjk
夢	cdmg
莞	cewj
莞	cegr
茸	cers
葺	ceqi
蔀	cebu
芳	cffh
萄	cftc
薩	cfsa
難	cfnj
芸	cgyy
芸	cgyi
茎	cgjk
菰	cggu
蒐	cgsz
蒐	cgsz
芦	chlu
蒸	chvg
菌	chjy
蕉	chjn
荻	chdi
萩	chqq
蕪	chwu
薦	chjm
薫	chxy
蘇	chsu
繭	cijm
幕	cjmu
薪	cjxb
芹	cjqb
落	cklo
落	cklc
落	ckla
若	ckro
苦	ckku
荷	ckhe
蓉	ckrs
菩	ckpu
茄	ckqp
茄	ckjx
苛	ckke
苔	cktd
菅	ckjm
苫	ckuj
蒼	ckch
蕎	ckqn
蕗	cklu
勤	clqb
募	clmu
某	cmmz
茶	cmia
菜	cmcd
菊	cmju
藻	cmzc
藁	cmgc
