一	yia
丁	dka
七	qia
丈	vha
三	sja
上	uha
下	xxa
不	bua
那	nae
且	qpa
世	uic
丘	qqp
丙	bka
中	vsa
丸	wjg
丹	djp
主	vud
久	jqp
乏	fap
乙	yig
九	jqp
乳	ruv
乾	qmu
乱	lrp
了	lev
了	lnv
事	uia
二	era
互	hua
倉	chr
五	wua
井	jka
丞	igv
岡	ghk
里	lia
爾	erd
生	ugp
黛	ddh
野	yea
亡	whw
交	jnw
享	xlw
京	jkw
人	rfp
仁	rfr
今	jbr
介	jpr
仕	uir
他	tar
付	fur
代	ddr
令	lkr
以	yiv
仰	yhr
仲	vsr
件	jmr
任	rfr
企	qir
伏	fur
伐	far
休	xqr
伯	bor
伯	bdr
伴	bjr
伸	ufr
伺	sir
伺	cir
似	uir
但	djr
位	wwr
低	dir
住	vur
佐	zor
何	her
作	zor
佳	jxr
使	uir
来	lda
例	lir
侍	uir
供	gsr
依	yir
侮	wur
侯	hzr
侵	qbr
便	pmr
便	bmr
係	xir
促	cur
俊	jyr
俗	sur
保	bcr
信	xbr
修	xqr
俳	pdr
俵	bnr
個	ger
倍	bwr
倒	dcr
候	hzr
借	jpr
倣	fh
倫	lyr
偉	wwr
偏	pmr
停	tkr
健	jmr
側	vdr
側	cer
側	zdr
偶	our
傍	bhr
傑	jph
備	bww
催	cvr
債	vdr
傷	uhr
傾	qkr
像	xlr
僚	lnr
偽	wwr
僧	sgr
儀	yir
億	yir
儒	rur
償	ihr
優	yzr
元	yre
兄	xsk
充	isw
兆	vcp
先	xmn
光	glx
克	keu
免	mmd
入	rup
内	nwa
全	qrr
八	bap
公	gsb
六	lqw
六	luw
共	gsc
兵	bkp
具	juq
典	dma
兼	jmq
冊	cep
再	zda
冒	mco
冗	rsb
冠	grb
冬	dsw
冷	lgd
准	vyd
凍	dsd
凝	nkd
凡	fjj
凶	xsk
出	iue
刀	dcg
刃	rfd
分	ffb
切	qpq
刈	yid
刊	kjd
刑	xkd
列	lpd
初	iup
判	pjd
別	bpd
利	lid
到	dcd
制	vid
刷	uxd
券	xrb
券	qrb
刺	cid
刻	ked
則	zed
削	xtd
削	xnd
前	qmq
剖	pzd
剛	ghd
副	fud
割	ged
創	ild
劇	jud
力	lig
功	gsg
加	jxl
劣	lpx
助	vuq
努	nul
劾	hew
勇	yss
勉	mmd
動	dse
勘	kjq
務	wuw
勝	ugo
募	muc
勢	uil
勤	qbc
勤	qbc
励	lii
勺	ucg
包	bcg
化	hxr
北	bwa
匠	jlk
匹	pik
匿	nik
区	quk
区	ouk
十	uia
千	qmp
升	ugp
午	wur
半	bjb
卑	bwp
卒	zuw
卒	cuw
卓	voa
協	xpu
南	nju
博	bou
占	vja
印	ybe
危	wwd
却	qte
卵	lrp
卸	xpe
即	jie
厘	lii
厚	hzi
原	yri
去	qut
参	ufs
参	cjs
又	yzv
及	jip
友	yzu
反	fjp
叔	uua
取	que
受	uzv
口	kza
古	guu
句	jug
句	gzg
叫	jnk
召	vcd
召	ucd
可	ked
史	uia
右	yzu
司	sig
各	gew
合	her
合	ger
吉	jiu
同	tsk
