#横一垂二三点捺，
#叉四插五方块六，
#七角八八九是小，
#点下有横变零头。
# 1  2  3  4  5  6  7  8  9  0
# a  x  e  r  t  y  u  i  o  p
# 横 垂 点 叉 插 框 角 八 小 亠


的	xuyx
一	appp
是	ypip
不	apop
了	auxp
在	rpxa
有	rpxx
我	xett
人	ippp
他	xrxa
这	epep
个	ipxp
们	xuxx
来	tpop
大	rppe
为	erpx
上	xaap
时	yrpp
能	xaxa
以	xiap
和	xyop
要	aprp
说	eiua
就	peoa
到	axap
地	rraa
可	apyx
那	autx
国	ypap
会	ipue
也	rrua
中	tppp
生	xtap
子	aurp
著	rryp
出	xxuu
你	xuxo
家	epxe
多	xuxp
得	xyxr
年	iptp
用	uuxx
么	xpue
学	exrp
下	apxe
去	rpue
工	apap
都	ruyx
于	aprp
之	epep
自	xypp
对	urrp
过	erep
方	ppxx
作	xixa
好	rurr
成	texp
小	oppp
样	riot
看	xpyp
分	ipxx
十	rppp
天	apre
面	apyp
发	xerp
然	xeee
同	uuxx
从	iipp
后	uxxy
动	arux
种	xtop
所	uxxx
没	euar
她	rrra
三	apap
如	ryrp
两	apxx
又	aurp
此	xaaa
事	tppp
道	eiep
还	eaep
而	apxx
业	exap
起	ruip
主	ppap
二	apap
行	xaxx
现	auaa
数	oirr
经	xuaa
心	eepp
因	ypre
想	ryee
但	xyxa
很	xuxe
些	xaap
点	xaee
当	opau
物	xutx
只	ypip
与	xarp
长	rxue
前	ipxx
水	axxe
本	rprp
开	aprr
民	uuur
法	erae
其	rrip
见	uuxa
进	etep
定	epip
实	epip
日	ypap
把	tupa
知	iyrp
最	ypar
问	euyp
等	iier
体	xtxe
高	ppxx
已	auua
各	xuyp
外	xexp
里	ypap
意	ppee
由	tpyp
头	erip
力	rppx
四	ypxa
无	apra
正	apap
使	xtxp
气	ippa
做	xixr
部	puyx
理	ayaa
表	tpue
全	ipap
将	exar
相	ryop
重	xpap
间	euyp
加	rypp
或	teap
手	xptp
常	opxx
情	otpx
及	auxr
己	auua
明	yupx
应	ppxa
它	epua
机	ruoa
产	ppxp
便	xaxr
度	ppxr
回	ypyp
位	xpxa
向	xuxx
儿	xxpa
公	ipue
少	opxp
形	axrx
电	tpua
老	rrua
候	xuxe
果	ypop
量	ypap
几	uuxa
第	iixx
什	xrxp
活	exay
走	rpip
直	rpua
比	xaua
化	xrxa
身	xurp
义	rppp
先	xrxa
线	xeat
平	aprp
美	ipre
利	xxop
文	pprp
原	uaxo
再	aprr
给	xiay
新	pxox
代	xexr
变	pprp
西	apyp
解	xuxt
关	ipip
才	rpxp
立	ppap
并	iprr
边	erep
政	aiar
元	apxa
别	yxrp
员	ypip
真	xaip
声	rpxu
合	ipyp
教	rirr
话	exuy
每	iptp
太	rppe
更	aptp
五	apap
叫	yrpp
内	rpxx
月	uuxx
百	apyp
甚	rrua
女	rprp
至	apap
呢	yupa
次	euai
题	yaip
受	xprp
社	erxa
放	pixr
山	xxuu
入	ippp
九	rppa
计	erup
今	ipxp
战	xeyt
东	rpop
怎	ipee
被	erxr
总	ipee
结	xray
则	uxip
听	yxpx
眼	yupe
打	tapx
庭	ppxr
名	xuyp
光	opxa
路	yuay
车	rptp
必	eepp
命	ipyx
反	uaxr
角	xuxx
性	otpa
书	tepx
六	ppip
军	eutp
接	tppr
处	xerp
者	rryp
色	xuua
八	ippp
世	rrua
像	xuxe
期	ruix
求	reae
设	euur
白	xypp
许	eiur
运	eaep
亲	ppop
指	tapy
任	xxxa
图	ypep
通	euep
觉	opxa
论	eiua
爱	xprp
条	xuop
式	reap
门	eupp
例	xxxp
界	ryax
即	uuux
且	uuap
海	eiat
港	eraa
万	apxx
吗	yupx
字	eprp
记	euua
快	otpe
象	xuxe
建	atrp
算	iirr
提	typi
组	xuaa
称	xioo
近	exep
却	ruux
花	rrxa
共	rrip
带	rrxx
往	xpxa
观	uura
完	epxa
场	ruax
感	teee
风	uuxa
件	xtxp
类	opip
难	upra
特	xrtr
住	xpxa
信	xpxy
决	etae
程	xyoa
示	apop
空	epap
号	ypxp
影	yxox
何	xaxx
展	uuxe
北	aaaa
认	eiup
制	xxxp
思	ypee
质	uxxi
科	xrop
吃	yipa
较	rptr
半	optp
市	ppxx
球	aeae
取	auar
望	puap
强	ayxe
流	eraa
笑	iire
片	xxpx
坐	iiap
该	epui
王	apap
验	uiaa
阶	uixx
交	pprp
党	opxa
区	uaua
早	yprp
保	xyxo
造	erep
千	xprp
极	ruor
热	ttee
写	eurp
队	uixp
管	iiuu
七	rpua
根	ruoe
目	ypap
父	iprp
南	rpxx
安	eprp
孩	apri
资	euip
非	aaaa
神	etxp
改	aiur
切	ruux
师	xapx
妈	rurx
金	ipap
转	rtte
若	rryp
死	apxa
品	ypyy
清	etax
满	erax
报	tupr
农	rpue
单	iptp
办	rpee
级	xuar
马	uuax
远	eaep
吧	ypua
收	xiur
步	xaxp
据	tupy
连	erep
容	epyp
段	uurr
争	xutp
离	ppxx
服	uuxr
跟	yuae
视	euxa
试	eeur
究	epra
告	xryp
音	ppyp
导	uuer
统	xpaa
积	xyoi
治	eeay
香	xpyp
张	axxe
士	rpap
识	eyui
易	ypxx
须	xaxi
虽	ypae
照	yuee
料	orop
似	xixp
器	yyyy
苦	rryp
始	rery
故	riyr
乐	uxop
整	tiap
术	reop
革	rrtp
精	otox
火	opip
传	xrxe
需	apxx
友	rppr
务	xurx
确	auyx
约	xuax
研	aayr
系	xpop
领	iaei
失	xtpe
除	uixo
请	etux
份	xixx
未	tpop
消	eoax
越	reip
具	ypip
曾	ipyp
志	rpee
商	ppxx
够	xuxx
谈	eoui
达	erep
足	ypip
深	euao
项	aaai
备	xuyp
钱	ieut
轻	ruta
青	tpxx
府	ppxr
般	xurr
石	apyp
校	rpor
演	eeai
准	epaa
持	trpr
兴	opip
众	ipii
包	xuua
食	ipue
增	riay
响	yupx
船	xiry
病	ppax
细	xyap
飞	axpa
答	iiyp
仍	xuxx
习	auax
值	xrxa
列	axxp
米	opop
亦	ppee
功	arax
让	eaua
率	pprp
晚	yupa
参	xexp
母	uutp
节	rrxx
价	xixx
调	euux
土	rpap
讲	etup
另	yprx
河	eaax
院	uexa
房	epxx
找	tept
济	epax
基	rrap
拿	iptp
星	ypap
言	ppyp
英	rrte
息	xyee
装	erue
举	optp
育	ppxx
温	eyaa
随	urxe
黑	ypee
群	aiyt
买	auip
欢	uuri
画	apuu
史	tppp
劳	rrrx
夜	ppxr
集	xpop
站	paay
衣	ppue
落	rray
团	ypxr
底	ppxr
规	tuia
联	airi
谁	epua
古	rpyp
夫	tppe
哪	yupx
首	ipyp
选	erep
际	uaxo
司	auyx
啊	yapx
推	tppa
刻	pxip
均	ruax
喜	rpyp
引	axxp
红	xaaa
留	uuyp
倒	xxxp
渐	exax
证	eaua
养	ipxx
读	erui
存	rpxr
官	epuu
呀	yapr
格	ruoy
怕	oypp
断	xxux
您	xuee
树	rrop
纸	xxar
送	eiep
令	ipep
广	ppxp
专	tpep
干	aprp
久	xuip
岁	xxxp
注	epaa
低	xxxr
支	rprp
简	iixx
显	ypap
医	uaua
愿	uaee
族	pixe
初	euxx
历	uaxx
境	rpaa
爸	ipua
铁	itui
势	ttrx
环	aaao
乎	xprp
标	raoo
议	erup
斗	erpp
差	ipxa
适	exep
屋	uuxa
助	urax
织	xyai
皮	rpxr
块	rtai
哥	apyx
微	xixr
朋	uuxx
客	epyp
黄	rrip
依	xpxe
紧	xuop
油	etay
拉	tppa
假	xuxr
续	xrai
速	etep
草	rrrp
局	uuxx
华	xrrp
右	rpyp
吸	yupr
脸	uixa
阳	uyxp
终	xuae
考	rrxp
素	tpop
破	aryr
脚	uuxx
属	uuxx
敌	xiyr
况	eyaa
权	ruor
刚	uxxp
围	yptx
技	trpr
费	ttip
置	ypua
句	xuyx
城	reat
严	apxp
止	xaap
男	yprx
忙	oppa
态	rpee
害	epyp
排	tapa
错	iruy
穿	epxr
密	epuu
致	aiar
钟	itup
弟	ipxx
急	xuee
赛	epip
兵	uxip
供	xrxi
诉	exur
台	xeyp
否	apyp
静	tuxt
睡	yxpa
左	rppa
查	rpap
林	rroo
压	uaxa
某	rrop
胜	utxa
划	txpp
厂	uaxp
察	epop
击	tpuu
洲	exap
午	iprp
周	uuxx
绝	xuaa
停	xpxx
继	xoaa
帝	ppxx
艺	rrua
伤	xixx
居	uuxy
鱼	xuap
跑	yuaa
语	eauy
派	exae
念	ipee
纪	xuaa
叶	yrpp
奇	rpyx
卖	rpip
余	ipop
班	aaaa
省	opyp
唱	yypy
味	ytpo
德	xrxe
室	epap
充	ppxa
圆	ypip
雨	apxx
防	upxx
银	iuue
负	xuip
责	tpip
毛	xpua
竟	ppxa
爷	ipxx
帮	tuxx
液	epar
射	xrxp
配	auya
酒	eaay
睛	ytpx
律	xtxp
状	eeae
构	ruox
尽	uuep
血	xuap
饭	xxur
歌	auyi
布	rpxx
采	xpop
赶	rxip
冷	eiax
怪	oupa
靠	xraa
委	xprp
效	pirr
坏	raao
复	iprp
投	tupr
慢	oypr
灯	oaix
木	rpop
获	rrxi
案	epop
双	aurr
洋	eiat
层	uuxe
含	ipyp
护	tepp
弹	aixt
待	xrxr
修	xixx
尤	repa
昨	yipa
突	epre
讨	erup
村	rrop
沙	eoax
批	tapa
减	eeat
货	xrip
课	eyuo
啦	yppa
坚	xuap
敢	aiar
亮	ppxa
预	aaxi
笔	iiua
误	eyui
既	uaua
述	eeep
短	iara
汽	eiaa
拍	typp
营	rryp
顶	aaxi
席	ppxx
趣	raip
限	uuxe
药	rrax
固	ypyp
植	rroa
警	riyp
维	xpaa
抗	tppa
忽	xuee
概	raoa
呼	yxpr
章	pprp
脑	upxu
互	apap
股	uuxr
乱	xxya
座	ppxa
距	yaaa
武	aear
剧	uxxp
顾	uaxi
创	ixup
印	uuux
希	rpxx
亚	apap
激	eiar
烧	otia
杂	rpop
职	ayri
输	ritx
练	xtao
端	pxax
朝	rurx
替	ttyp
险	uixa
免	xura
施	pixa
独	rtxe
缺	itue
旧	xypp
景	ypop
妇	ruru
旁	ppxx
姐	rura
源	eaao
阵	urxt
祖	euxa
仅	xuxr
谓	eyux
担	typa
测	exap
江	eaaa
异	aurr
乘	xpop
曲	ttyp
牛	xtpp
跳	yxaa
换	tupi
富	epyp
惊	oppo
遇	eyep
困	ypop
按	tepr
略	yupy
恶	apee
永	epxe
良	epue
型	axap
嘴	yapx
园	ypxa
怀	oapo
乡	xpxp
检	rioa
克	rpxa
升	xrrp
封	rrap
板	raor
店	ppxy
守	eper
陆	utxu
背	aaxx
救	riar
玩	aaaa
烈	axee
礼	exxa
善	ipyp
痛	ppax
杀	rpop
括	txpy
毒	tptp
戏	uert
攻	aiar
苏	rree
普	ipyp
透	exep
途	eiep
肉	rpxx
肯	xaxx
沈	eraa
烟	oyip
田	yprp
优	xexa
娘	rere
付	xrxp
汉	euar
败	uiir
幸	rprp
春	tpyp
暗	yppy
绿	xuao
尺	uuip
模	rroe
熟	ptee
伟	xtxx
掉	tapr
央	tppe
婚	rxry
录	auop
野	yuax
益	ipap
丽	apxx
材	rrop
散	rixr
票	apop
镜	ipua
喝	yypx
序	ppxx
菜	rrop
判	oxtp
骨	uuxx
巴	uuua
楼	roor
湾	epax
摇	txpu
附	urxp
露	apay
策	iiop
款	ruoi
卫	auap
欧	uuui
罢	ypue
盛	teap
诺	eruy
楚	rrip
庄	ppxa
咱	yypp
逐	eaep
染	erop
疑	xuri
季	xprp
移	xuox
虫	tpae
零	apep
床	ppxo
健	xtxr
街	xaap
雪	apau
旅	pixe
粉	oiox
介	ipxx
顺	xapi
忘	ppee
占	xayp
斯	rxix
丝	xxap
训	exup
灭	apip
云	apue
县	uuue
福	eaxy
鼓	rrar
折	txpx
窗	epyp
夏	apxr
冲	etap
宣	epap
翠	aurp
降	uuxt
游	eiar
针	irup
酸	aeyr
岸	xxxr
愈	ipee
桥	rxox
钢	iuux
追	euep
氧	ipta
舞	ipxt
堂	opap
闻	eurp
弄	aprr
宝	epap
危	xuxa
妹	rtro
协	rrpe
哭	yyre
喊	yept
谢	erup
洗	eraa
超	ruip
硬	aayr
浪	euae
范	rraa
懂	orpa
挥	tupt
宗	epop
甲	yptp
燃	oeie
鲜	xiat
贵	tpip
评	eaur
凡	uuxa
架	ryop
临	xipy
棉	ryox
耳	aprp
馆	xeuu
齐	ppxx
彩	xxox
抽	ttpy
轮	rita
迎	euep
努	rurx
翻	xuyx
遍	eeep
抱	tupa
触	xtxe
孔	axra
徒	xrxi
毫	ppua
访	epux
沿	eiay
阿	uaxx
唯	yppa
搜	tupr
培	rpay
盘	xuap
州	expp
企	ipap
赞	xrip
丰	tppp
灵	auip
康	ppxe
纷	xiax
京	ppop
亡	ppua
泥	euaa
波	erar
倍	xpxy
罗	ypxp
诗	erur
混	eyaa
仔	xuxr
尚	opxx
招	tupy
廿	rruu
副	axyp
姑	rrry
径	xuxa
税	xioa
匪	uaua
释	xuot
圈	ypua
惯	oupi
枪	rioa
氏	uxur
握	tupa
私	xxoe
蛋	auae
刀	auxx
巨	uaua
承	auxe
财	urip
退	euep
额	eayi
威	texp
绍	xuay
归	xupu
侵	xuxr
束	tpop
避	epep
兄	ypxa
筑	iiaa
厘	uaxa
休	xrxo
摆	type
遭	etep
户	epxp
控	tepa
莫	rrre
迷	eoep
童	ppap
顿	taui
桌	xaop
绩	xtai
虑	xaxe
爬	uuxe
瓶	iara
扩	tppp
宜	epap
补	eexp
颜	paxi
脱	uixa
恐	auee
伸	xtxp
执	ttpa
末	tpop
镇	irui
套	rpue
闹	euxx
毕	xxrp
鸟	xuax
罪	ypaa
枝	rror
岛	xuux
掌	optp
湖	euax
吹	yupi
编	xeax
寻	auer
禁	rrop
盖	ipap
弱	auax
李	rprp
犯	ruxa
择	tupt
秋	xooi
藏	rrxt
茶	rrop
伯	xyxp
摄	tapr
默	yeee
繁	iiop
陈	urxo
荷	rrxx
稳	xuoe
诸	eruy
垂	xpap
尼	uuxa
篇	iixx
勇	aurx
磁	aiye
秘	xeop
餐	xuue
刺	txop
偏	xexx
晨	ypxe
姓	rtra
胞	uuxa
君	auyp
鸡	uurx
亿	xuxa
奶	rurx
狗	ruxx
挂	trpa
醒	ayya
厚	uaxr
矿	apyp
菌	rryp
污	eaax
尔	xuop
寒	epep
伙	xoxi
斜	irop
堆	rpaa
映	yrpe
销	ioux
奋	rpyp
仪	xrxp
杯	raoo
登	axap
扬	tupx
袋	xeue
索	rpop
冰	exae
探	tupo
横	rroi
溶	eeay
忍	auee
暴	ypae
逃	exep
冬	xuep
抓	txpe
献	rexe
遗	etep
励	urxx
哈	yipy
损	typi
泪	eyap
牙	apxr
荣	rrop
幕	rrxx
播	txpy
词	euux
聚	auxe
促	xyxi
借	xrxy
偶	xyxx
稍	xoox
航	xpra
订	eaux
博	repr
搬	tupr
森	rpoo
夺	rper
菁	rrxx
闪	euip
隔	uaxx
享	pprp
抵	txpr
潮	euax
碰	aiya
朵	auop
载	rett
宽	epxa
币	xpxx
监	xiap
灰	uaxi
纯	xtaa
腿	uuxe
辆	ratx
玻	arar
域	reat
悲	aaee
淡	eoai
雄	rppa
抬	tepy
阻	uuxa
乃	auxx
劲	arax
核	rpoi
覆	apxr
逼	eaep
铜	iuux
佛	xtxx
蒸	rree
鞋	rrta
斤	uxxx
胡	ruyx
震	apxe
劣	oprx
巧	aaax
洞	euax
洁	eray
拥	tupx
督	xuyp
丈	tppp
劝	urrx
貌	xyxa
麦	tpxr
愉	oipx
购	uuix
售	xpyp
尊	iper
麻	ppxo
彼	xrxr
阴	uuxx
湿	eyaa
缩	xeay
贸	uuip
插	txpu
颗	yaoi
智	iyyp
肥	uuxa
敬	riyr
惜	orpy
龙	repa
搞	tppx
粒	opoa
璃	apax
乏	xpep
胶	upxr
赏	opip
松	rioe
粮	oeoe
壁	upap
迹	epep
叔	xuor
频	xaxi
谋	eruo
尾	uuxa
磨	ppxy
皇	xyap
猛	ruxa
缘	xuae
鬼	xyxa
患	tpee
础	xtxe
奏	tpre
奖	euip
哲	txyp
肤	utxi
耐	arxp
轴	rtty
偷	xixx
粗	ouoa
迅	euep
浮	exar
哩	yypa
迟	euep
爆	oyie
羊	iptp
佳	xrxa
摸	trpe
梦	rrxp
幼	xrux
侧	xxxp
凭	xxxa
泡	euaa
碎	apyr
盐	reap
废	ppxr
挑	txpa
婆	errp
岩	xxyp
泣	epaa
蒙	rrxe
跌	ytae
烦	oaii
秒	xoox
俄	xext
汗	eaar
煤	orio
穷	eprx
箱	iioy
绘	xiae
兰	ipap
仰	xuxx
描	trpy
饰	xiux
残	aext
版	xapr
绕	xtaa
尖	opre
讯	euua
碗	aeya
盆	ipap
操	typo
氢	ipaa
纵	xiap
欲	iuyi
番	xpyp
嫂	rurr
腰	uaxr
牌	xypr
肩	epxx
冒	ypyp
幅	raxy
累	ypop
舒	iuyx
倾	xaxi
奔	rprr
暂	rxyp
豆	apap
壮	eraa
擦	tepo
玉	apap
典	ttip
薄	rrar
滑	euax
详	eiut
页	apip
皆	xayp
夹	tpip
糖	opoy
怜	oipe
梁	eeop
授	txpr
征	xaxa
捕	tepx
剩	xxop
邻	iuex
旋	pixi
凉	epao
盾	uxxy
延	axrp
械	reot
码	auyx
届	uuxy
恢	orpi
迫	eyep
予	auxp
召	auyp
措	trpy
珠	atao
琴	aaxp
妻	tprp
宋	epop
陷	uuxu
俗	xixy
弯	ppxp
宇	eprp
殖	arxa
册	uurr
瞧	yppe
衡	xaxx
塞	epap
彻	xuxx
诚	eeut
